Trace1,
Freq,,Amp,,
            98275000,Hz,              -78.08, dBm,
            98275875,Hz,              -79.19, dBm,
            98276750,Hz,              -78.65, dBm,
            98277625,Hz,              -78.75, dBm,
            98278500,Hz,              -77.15, dBm,
            98279375,Hz,              -79.31, dBm,
            98280250,Hz,              -77.45, dBm,
            98281125,Hz,              -78.23, dBm,
            98282000,Hz,              -79.49, dBm,
            98282875,Hz,              -77.77, dBm,
            98283750,Hz,              -77.50, dBm,
            98284625,Hz,              -77.36, dBm,
            98285500,Hz,              -79.49, dBm,
            98286375,Hz,              -78.28, dBm,
            98287250,Hz,              -78.37, dBm,
            98288125,Hz,              -72.21, dBm,
            98289000,Hz,              -78.09, dBm,
            98289875,Hz,              -78.79, dBm,
            98290750,Hz,              -78.25, dBm,
            98291625,Hz,              -75.01, dBm,
            98292500,Hz,              -75.50, dBm,
            98293375,Hz,              -75.49, dBm,
            98294250,Hz,              -78.95, dBm,
            98295125,Hz,              -79.16, dBm,
            98296000,Hz,              -77.86, dBm,
            98296875,Hz,              -77.41, dBm,
            98297750,Hz,              -78.28, dBm,
            98298625,Hz,              -78.48, dBm,
            98299500,Hz,              -79.36, dBm,
            98300375,Hz,              -73.35, dBm,
            98301250,Hz,              -80.70, dBm,
            98302125,Hz,              -78.23, dBm,
            98303000,Hz,              -78.44, dBm,
            98303875,Hz,              -72.49, dBm,
            98304750,Hz,              -72.85, dBm,
            98305625,Hz,              -77.52, dBm,
            98306500,Hz,              -78.15, dBm,
            98307375,Hz,              -78.87, dBm,
            98308250,Hz,              -76.63, dBm,
            98309125,Hz,              -77.62, dBm,
            98310000,Hz,              -77.57, dBm,
            98310875,Hz,              -76.95, dBm,
            98311750,Hz,              -77.92, dBm,
            98312625,Hz,              -75.08, dBm,
            98313500,Hz,              -78.79, dBm,
            98314375,Hz,              -76.44, dBm,
            98315250,Hz,              -72.18, dBm,
            98316125,Hz,              -69.48, dBm,
            98317000,Hz,              -71.18, dBm,
            98317875,Hz,              -78.41, dBm,
            98318750,Hz,              -73.60, dBm,
            98319625,Hz,              -75.67, dBm,
            98320500,Hz,              -74.83, dBm,
            98321375,Hz,              -79.35, dBm,
            98322250,Hz,              -76.76, dBm,
            98323125,Hz,              -77.85, dBm,
            98324000,Hz,              -77.74, dBm,
            98324875,Hz,              -77.12, dBm,
            98325750,Hz,              -78.40, dBm,
            98326625,Hz,              -69.51, dBm,
            98327500,Hz,              -66.34, dBm,
            98328375,Hz,              -67.28, dBm,
            98329250,Hz,              -71.81, dBm,
            98330125,Hz,              -79.00, dBm,
            98331000,Hz,              -74.27, dBm,
            98331875,Hz,              -75.92, dBm,
            98332750,Hz,              -72.89, dBm,
            98333625,Hz,              -80.31, dBm,
            98334500,Hz,              -76.84, dBm,
            98335375,Hz,              -80.08, dBm,
            98336250,Hz,              -76.93, dBm,
            98337125,Hz,              -77.88, dBm,
            98338000,Hz,              -65.16, dBm,
            98338875,Hz,              -63.98, dBm,
            98339750,Hz,              -64.50, dBm,
            98340625,Hz,              -66.55, dBm,
            98341500,Hz,              -76.13, dBm,
            98342375,Hz,              -75.52, dBm,
            98343250,Hz,              -67.88, dBm,
            98344125,Hz,              -75.51, dBm,
            98345000,Hz,              -76.60, dBm,
            98345875,Hz,              -79.09, dBm,
            98346750,Hz,              -75.24, dBm,
            98347625,Hz,              -75.51, dBm,
            98348500,Hz,              -76.11, dBm,
            98349375,Hz,              -72.75, dBm,
            98350250,Hz,              -61.59, dBm,
            98351125,Hz,              -61.47, dBm,
            98352000,Hz,              -63.26, dBm,
            98352875,Hz,              -69.99, dBm,
            98353750,Hz,              -70.94, dBm,
            98354625,Hz,              -69.19, dBm,
            98355500,Hz,              -73.71, dBm,
            98356375,Hz,              -67.97, dBm,
            98357250,Hz,              -72.63, dBm,
            98358125,Hz,              -76.28, dBm,
            98359000,Hz,              -78.80, dBm,
            98359875,Hz,              -74.31, dBm,
            98360750,Hz,              -68.83, dBm,
            98361625,Hz,              -59.45, dBm,
            98362500,Hz,              -58.81, dBm,
            98363375,Hz,              -59.95, dBm,
            98364250,Hz,              -74.00, dBm,
            98365125,Hz,              -67.77, dBm,
            98366000,Hz,              -66.25, dBm,
            98366875,Hz,              -66.54, dBm,
            98367750,Hz,              -64.71, dBm,
            98368625,Hz,              -77.31, dBm,
            98369500,Hz,              -78.13, dBm,
            98370375,Hz,              -73.88, dBm,
            98371250,Hz,              -69.71, dBm,
            98372125,Hz,              -67.85, dBm,
            98373000,Hz,              -58.76, dBm,
            98373875,Hz,              -57.65, dBm,
            98374750,Hz,              -57.75, dBm,
            98375625,Hz,              -60.14, dBm,
            98376500,Hz,              -67.36, dBm,
            98377375,Hz,              -62.33, dBm,
            98378250,Hz,              -62.94, dBm,
            98379125,Hz,              -64.24, dBm,
            98380000,Hz,              -70.19, dBm,
            98380875,Hz,              -69.52, dBm,
            98381750,Hz,              -67.88, dBm,
            98382625,Hz,              -67.45, dBm,
            98383500,Hz,              -68.97, dBm,
            98384375,Hz,              -58.40, dBm,
            98385250,Hz,              -56.44, dBm,
            98386125,Hz,              -56.79, dBm,
            98387000,Hz,              -57.04, dBm,
            98387875,Hz,              -67.90, dBm,
            98388750,Hz,              -63.93, dBm,
            98389625,Hz,              -68.52, dBm,
            98390500,Hz,              -64.93, dBm,
            98391375,Hz,              -64.60, dBm,
            98392250,Hz,              -65.11, dBm,
            98393125,Hz,              -71.33, dBm,
            98394000,Hz,              -63.93, dBm,
            98394875,Hz,              -61.10, dBm,
            98395750,Hz,              -57.75, dBm,
            98396625,Hz,              -55.35, dBm,
            98397500,Hz,              -54.69, dBm,
            98398375,Hz,              -55.49, dBm,
            98399250,Hz,              -62.46, dBm,
            98400125,Hz,              -61.74, dBm,
            98401000,Hz,              -61.40, dBm,
            98401875,Hz,              -60.27, dBm,
            98402750,Hz,              -65.56, dBm,
            98403625,Hz,              -66.45, dBm,
            98404500,Hz,              -67.32, dBm,
            98405375,Hz,              -63.88, dBm,
            98406250,Hz,              -60.23, dBm,
            98407125,Hz,              -58.32, dBm,
            98408000,Hz,              -54.16, dBm,
            98408875,Hz,              -54.13, dBm,
            98409750,Hz,              -54.53, dBm,
            98410625,Hz,              -58.40, dBm,
            98411500,Hz,              -57.77, dBm,
            98412375,Hz,              -57.42, dBm,
            98413250,Hz,              -62.11, dBm,
            98414125,Hz,              -60.66, dBm,
            98415000,Hz,              -65.01, dBm,
            98415875,Hz,              -64.19, dBm,
            98416750,Hz,              -61.64, dBm,
            98417625,Hz,              -59.73, dBm,
            98418500,Hz,              -62.50, dBm,
            98419375,Hz,              -54.18, dBm,
            98420250,Hz,              -54.13, dBm,
            98421125,Hz,              -54.23, dBm,
            98422000,Hz,              -55.59, dBm,
            98422875,Hz,              -58.48, dBm,
            98423750,Hz,              -56.14, dBm,
            98424625,Hz,              -57.97, dBm,
            98425500,Hz,              -57.36, dBm,
            98426375,Hz,              -61.23, dBm,
            98427250,Hz,              -63.78, dBm,
            98428125,Hz,              -61.63, dBm,
            98429000,Hz,              -61.43, dBm,
            98429875,Hz,              -56.81, dBm,
            98430750,Hz,              -53.64, dBm,
            98431625,Hz,              -53.46, dBm,
            98432500,Hz,              -53.37, dBm,
