Trace1,
Freq,,Amp,,
              500000,Hz,              -63.39, dBm,
              515833,Hz,              -63.20, dBm,
              531666,Hz,              -63.26, dBm,
              547499,Hz,              -63.38, dBm,
              563332,Hz,              -64.29, dBm,
              579165,Hz,              -64.80, dBm,
              594998,Hz,              -63.82, dBm,
              610831,Hz,              -62.72, dBm,
              626664,Hz,              -60.59, dBm,
              642497,Hz,              -59.82, dBm,
              658330,Hz,              -59.12, dBm,
              674163,Hz,              -59.12, dBm,
              689996,Hz,              -59.22, dBm,
              705829,Hz,              -60.07, dBm,
              721662,Hz,              -60.69, dBm,
              737495,Hz,              -58.69, dBm,
              753328,Hz,              -56.84, dBm,
              769161,Hz,              -52.42, dBm,
              784994,Hz,              -47.50, dBm,
              800827,Hz,              -44.69, dBm,
              816660,Hz,              -38.38, dBm,
              832493,Hz,              -36.73, dBm,
              848326,Hz,              -30.36, dBm,
              864159,Hz,              -27.42, dBm,
              879992,Hz,              -22.14, dBm,
              895825,Hz,              -17.68, dBm,
              911658,Hz,              -15.76, dBm,
              927491,Hz,              -12.52, dBm,
              943324,Hz,              -11.84, dBm,
              959157,Hz,               -9.59, dBm,
              974990,Hz,               -8.13, dBm,
              990823,Hz,               -7.69, dBm,
             1006656,Hz,               -7.39, dBm,
             1022489,Hz,               -7.39, dBm,
             1038322,Hz,               -7.53, dBm,
             1054155,Hz,               -8.40, dBm,
             1069988,Hz,               -9.12, dBm,
             1085821,Hz,              -11.16, dBm,
             1101654,Hz,              -13.22, dBm,
             1117487,Hz,              -14.84, dBm,
             1133320,Hz,              -18.71, dBm,
             1149153,Hz,              -20.96, dBm,
             1164986,Hz,              -26.03, dBm,
             1180819,Hz,              -31.77, dBm,
             1196652,Hz,              -34.87, dBm,
             1212485,Hz,              -41.56, dBm,
             1228318,Hz,              -43.35, dBm,
             1244151,Hz,              -50.61, dBm,
             1259984,Hz,              -53.78, dBm,
             1275817,Hz,              -57.51, dBm,
             1291650,Hz,              -58.90, dBm,
             1307483,Hz,              -59.37, dBm,
             1323316,Hz,              -59.66, dBm,
             1339149,Hz,              -58.98, dBm,
             1354982,Hz,              -58.72, dBm,
             1370815,Hz,              -58.78, dBm,
             1386648,Hz,              -59.14, dBm,
             1402481,Hz,              -60.77, dBm,
             1418314,Hz,              -61.90, dBm,
             1434147,Hz,              -64.25, dBm,
             1449980,Hz,              -64.80, dBm,
             1465813,Hz,              -66.75, dBm,
             1481646,Hz,              -68.08, dBm,
             1497479,Hz,              -67.64, dBm,
             1513312,Hz,              -66.75, dBm,
             1529145,Hz,              -64.39, dBm,
             1544978,Hz,              -62.00, dBm,
             1560811,Hz,              -61.04, dBm,
             1576644,Hz,              -60.00, dBm,
             1592477,Hz,              -59.97, dBm,
             1608310,Hz,              -60.04, dBm,
             1624143,Hz,              -61.40, dBm,
             1639976,Hz,              -62.75, dBm,
             1655809,Hz,              -66.81, dBm,
             1671642,Hz,              -70.79, dBm,
             1687475,Hz,              -73.47, dBm,
             1703308,Hz,              -76.96, dBm,
             1719141,Hz,              -77.46, dBm,
             1734974,Hz,              -77.54, dBm,
             1750807,Hz,              -77.73, dBm,
             1766640,Hz,              -77.06, dBm,
             1782473,Hz,              -76.20, dBm,
             1798306,Hz,              -74.02, dBm,
             1814139,Hz,              -73.11, dBm,
             1829972,Hz,              -72.47, dBm,
             1845805,Hz,              -72.49, dBm,
             1861638,Hz,              -73.62, dBm,
             1877471,Hz,              -74.66, dBm,
             1893304,Hz,              -76.38, dBm,
             1909137,Hz,              -77.50, dBm,
             1924970,Hz,              -79.62, dBm,
             1940803,Hz,              -81.10, dBm,
             1956636,Hz,              -80.33, dBm,
             1972469,Hz,              -79.34, dBm,
             1988302,Hz,              -76.77, dBm,
             2004135,Hz,              -75.32, dBm,
             2019968,Hz,              -72.72, dBm,
             2035801,Hz,              -71.36, dBm,
             2051634,Hz,              -71.28, dBm,
             2067467,Hz,              -71.32, dBm,
             2083300,Hz,              -72.63, dBm,
             2099133,Hz,              -74.02, dBm,
             2114966,Hz,              -78.20, dBm,
             2130799,Hz,              -82.15, dBm,
             2146632,Hz,              -84.57, dBm,
             2162465,Hz,              -86.14, dBm,
             2178298,Hz,              -84.47, dBm,
             2194131,Hz,              -83.47, dBm,
             2209964,Hz,              -82.85, dBm,
             2225797,Hz,              -83.06, dBm,
             2241630,Hz,              -84.46, dBm,
             2257463,Hz,              -85.76, dBm,
             2273296,Hz,              -86.30, dBm,
             2289129,Hz,              -83.48, dBm,
             2304962,Hz,              -79.29, dBm,
             2320795,Hz,              -77.69, dBm,
             2336628,Hz,              -75.80, dBm,
             2352461,Hz,              -75.37, dBm,
             2368294,Hz,              -74.94, dBm,
             2384127,Hz,              -74.81, dBm,
             2399960,Hz,              -74.78, dBm,
             2415793,Hz,              -74.92, dBm,
             2431626,Hz,              -75.71, dBm,
             2447459,Hz,              -75.74, dBm,
             2463292,Hz,              -74.81, dBm,
             2479125,Hz,              -72.18, dBm,
             2494958,Hz,              -70.26, dBm,
             2510791,Hz,              -70.01, dBm,
             2526624,Hz,              -69.78, dBm,
             2542457,Hz,              -70.05, dBm,
             2558290,Hz,              -70.58, dBm,
             2574123,Hz,              -71.67, dBm,
             2589956,Hz,              -72.41, dBm,
             2605789,Hz,              -71.69, dBm,
             2621622,Hz,              -71.27, dBm,
             2637455,Hz,              -70.04, dBm,
             2653288,Hz,              -69.64, dBm,
             2669121,Hz,              -68.26, dBm,
             2684954,Hz,              -65.29, dBm,
             2700787,Hz,              -63.57, dBm,
             2716620,Hz,              -60.55, dBm,
             2732453,Hz,              -59.44, dBm,
             2748286,Hz,              -58.42, dBm,
             2764119,Hz,              -58.10, dBm,
             2779952,Hz,              -57.43, dBm,
             2795785,Hz,              -54.11, dBm,
             2811618,Hz,              -51.21, dBm,
             2827451,Hz,              -44.66, dBm,
             2843284,Hz,              -41.51, dBm,
             2859117,Hz,              -37.15, dBm,
             2874950,Hz,              -32.01, dBm,
             2890783,Hz,              -29.71, dBm,
             2906616,Hz,              -25.67, dBm,
             2922449,Hz,              -23.93, dBm,
             2938282,Hz,              -21.04, dBm,
             2954115,Hz,              -19.89, dBm,
             2969948,Hz,              -18.53, dBm,
             2985781,Hz,              -17.39, dBm,
             3001614,Hz,              -17.12, dBm,
             3017447,Hz,              -17.04, dBm,
             3033280,Hz,              -17.16, dBm,
             3049113,Hz,              -17.48, dBm,
             3064946,Hz,              -18.69, dBm,
             3080779,Hz,              -20.68, dBm,
             3096612,Hz,              -21.98, dBm,
             3112445,Hz,              -25.16, dBm,
             3128278,Hz,              -27.05, dBm,
             3144111,Hz,              -30.24, dBm,
             3159944,Hz,              -32.58, dBm,
             3175777,Hz,              -37.75, dBm,
             3191610,Hz,              -43.67, dBm,
             3207443,Hz,              -46.98, dBm,
             3223276,Hz,              -54.02, dBm,
             3239109,Hz,              -57.40, dBm,
             3254942,Hz,              -61.76, dBm,
             3270775,Hz,              -66.17, dBm,
             3286608,Hz,              -67.83, dBm,
             3302441,Hz,              -69.78, dBm,
             3318274,Hz,              -70.23, dBm,
             3334107,Hz,              -71.06, dBm,
             3349940,Hz,              -71.62, dBm,
             3365773,Hz,              -71.61, dBm,
             3381606,Hz,              -70.55, dBm,
             3397439,Hz,              -68.44, dBm,
             3413272,Hz,              -68.09, dBm,
             3429105,Hz,              -67.49, dBm,
             3444938,Hz,              -67.49, dBm,
             3460771,Hz,              -67.53, dBm,
             3476604,Hz,              -67.29, dBm,
             3492437,Hz,              -67.26, dBm,
             3508270,Hz,              -67.28, dBm,
             3524103,Hz,              -67.97, dBm,
             3539936,Hz,              -68.74, dBm,
             3555769,Hz,              -70.85, dBm,
             3571602,Hz,              -72.87, dBm,
             3587435,Hz,              -73.26, dBm,
             3603268,Hz,              -74.33, dBm,
             3619101,Hz,              -74.79, dBm,
             3634934,Hz,              -76.14, dBm,
             3650767,Hz,              -78.18, dBm,
             3666600,Hz,              -79.15, dBm,
             3682433,Hz,              -79.51, dBm,
             3698266,Hz,              -77.78, dBm,
             3714099,Hz,              -76.86, dBm,
             3729932,Hz,              -75.76, dBm,
             3745765,Hz,              -75.72, dBm,
             3761598,Hz,              -76.24, dBm,
             3777431,Hz,              -77.03, dBm,
             3793264,Hz,              -78.75, dBm,
             3809097,Hz,              -78.60, dBm,
             3824930,Hz,              -77.47, dBm,
             3840763,Hz,              -77.08, dBm,
             3856596,Hz,              -76.66, dBm,
             3872429,Hz,              -76.39, dBm,
             3888262,Hz,              -76.00, dBm,
             3904095,Hz,              -76.00, dBm,
             3919928,Hz,              -76.06, dBm,
             3935761,Hz,              -76.88, dBm,
             3951594,Hz,              -78.09, dBm,
             3967427,Hz,              -78.53, dBm,
             3983260,Hz,              -79.10, dBm,
             3999093,Hz,              -79.44, dBm,
             4014926,Hz,              -80.35, dBm,
             4030759,Hz,              -80.51, dBm,
             4046592,Hz,              -79.38, dBm,
             4062425,Hz,              -78.83, dBm,
             4078258,Hz,              -78.41, dBm,
             4094091,Hz,              -78.39, dBm,
             4109924,Hz,              -78.39, dBm,
             4125757,Hz,              -77.48, dBm,
             4141590,Hz,              -76.71, dBm,
             4157423,Hz,              -75.38, dBm,
             4173256,Hz,              -75.16, dBm,
             4189089,Hz,              -75.17, dBm,
             4204922,Hz,              -75.92, dBm,
             4220755,Hz,              -77.94, dBm,
             4236588,Hz,              -78.95, dBm,
             4252421,Hz,              -79.77, dBm,
             4268254,Hz,              -79.63, dBm,
             4284087,Hz,              -79.71, dBm,
             4299920,Hz,              -80.19, dBm,
             4315753,Hz,              -82.91, dBm,
             4331586,Hz,              -87.53, dBm,
             4347419,Hz,              -89.78, dBm,
             4363252,Hz,              -90.22, dBm,
             4379085,Hz,              -86.12, dBm,
             4394918,Hz,              -82.63, dBm,
             4410751,Hz,              -81.64, dBm,
             4426584,Hz,              -80.97, dBm,
             4442417,Hz,              -80.92, dBm,
             4458250,Hz,              -80.96, dBm,
             4474083,Hz,              -81.46, dBm,
             4489916,Hz,              -81.68, dBm,
             4505749,Hz,              -82.99, dBm,
             4521582,Hz,              -84.55, dBm,
             4537415,Hz,              -84.39, dBm,
             4553248,Hz,              -83.22, dBm,
             4569081,Hz,              -79.96, dBm,
             4584914,Hz,              -77.47, dBm,
             4600747,Hz,              -76.91, dBm,
             4616580,Hz,              -76.80, dBm,
             4632413,Hz,              -76.95, dBm,
             4648246,Hz,              -76.49, dBm,
             4664079,Hz,              -75.42, dBm,
             4679912,Hz,              -72.86, dBm,
             4695745,Hz,              -71.59, dBm,
             4711578,Hz,              -71.59, dBm,
             4727411,Hz,              -71.74, dBm,
             4743244,Hz,              -73.36, dBm,
             4759077,Hz,              -73.92, dBm,
             4774910,Hz,              -68.42, dBm,
             4790743,Hz,              -64.50, dBm,
             4806576,Hz,              -56.75, dBm,
             4822409,Hz,              -53.19, dBm,
             4838242,Hz,              -46.68, dBm,
             4854075,Hz,              -43.68, dBm,
             4869908,Hz,              -39.47, dBm,
             4885741,Hz,              -34.51, dBm,
             4901574,Hz,              -32.34, dBm,
             4917407,Hz,              -28.62, dBm,
             4933240,Hz,              -27.05, dBm,
             4949073,Hz,              -24.51, dBm,
             4964906,Hz,              -22.74, dBm,
             4980739,Hz,              -22.42, dBm,
             4996572,Hz,              -21.63, dBm,
             5012405,Hz,              -21.53, dBm,
             5028238,Hz,              -21.56, dBm,
             5044071,Hz,              -21.93, dBm,
             5059904,Hz,              -22.42, dBm,
             5075737,Hz,              -23.97, dBm,
             5091570,Hz,              -26.29, dBm,
             5107403,Hz,              -27.74, dBm,
             5123236,Hz,              -31.23, dBm,
             5139069,Hz,              -33.27, dBm,
             5154902,Hz,              -36.72, dBm,
             5170735,Hz,              -42.08, dBm,
             5186568,Hz,              -45.05, dBm,
             5202401,Hz,              -51.37, dBm,
             5218234,Hz,              -54.60, dBm,
             5234067,Hz,              -61.10, dBm,
             5249900,Hz,              -64.44, dBm,
             5265733,Hz,              -69.45, dBm,
             5281566,Hz,              -74.45, dBm,
             5297399,Hz,              -75.13, dBm,
             5313232,Hz,              -74.62, dBm,
             5329065,Hz,              -74.07, dBm,
             5344898,Hz,              -73.59, dBm,
             5360731,Hz,              -73.23, dBm,
             5376564,Hz,              -72.38, dBm,
             5392397,Hz,              -72.20, dBm,
             5408230,Hz,              -72.20, dBm,
             5424063,Hz,              -73.11, dBm,
             5439896,Hz,              -74.37, dBm,
             5455729,Hz,              -78.15, dBm,
             5471562,Hz,              -81.18, dBm,
             5487395,Hz,              -80.49, dBm,
             5503228,Hz,              -79.80, dBm,
             5519061,Hz,              -79.16, dBm,
             5534894,Hz,              -79.16, dBm,
             5550727,Hz,              -79.44, dBm,
             5566560,Hz,              -79.65, dBm,
             5582393,Hz,              -79.91, dBm,
             5598226,Hz,              -80.04, dBm,
             5614059,Hz,              -80.39, dBm,
             5629892,Hz,              -80.58, dBm,
