Trace1,
Freq,,Amp,,
              500000,Hz,              -71.41, dBm,
              515833,Hz,              -71.27, dBm,
              531666,Hz,              -70.88, dBm,
              547499,Hz,              -70.59, dBm,
              563332,Hz,              -69.20, dBm,
              579165,Hz,              -65.94, dBm,
              594998,Hz,              -63.74, dBm,
              610831,Hz,              -63.99, dBm,
              626664,Hz,              -70.39, dBm,
              642497,Hz,              -66.77, dBm,
              658330,Hz,              -63.84, dBm,
              674163,Hz,              -63.32, dBm,
              689996,Hz,              -63.94, dBm,
              705829,Hz,              -64.67, dBm,
              721662,Hz,              -59.26, dBm,
              737495,Hz,              -58.37, dBm,
              753328,Hz,              -58.77, dBm,
              769161,Hz,              -59.24, dBm,
              784994,Hz,              -57.34, dBm,
              800827,Hz,              -56.65, dBm,
              816660,Hz,              -57.04, dBm,
              832493,Hz,              -60.56, dBm,
              848326,Hz,              -64.81, dBm,
              864159,Hz,              -58.80, dBm,
              879992,Hz,              -58.00, dBm,
              895825,Hz,              -59.11, dBm,
              911658,Hz,              -55.94, dBm,
              927491,Hz,              -39.68, dBm,
              943324,Hz,              -22.71, dBm,
              959157,Hz,              -13.85, dBm,
              974990,Hz,               -8.31, dBm,
              990823,Hz,               -7.39, dBm,
             1006656,Hz,               -7.57, dBm,
             1022489,Hz,              -12.26, dBm,
             1038322,Hz,              -21.83, dBm,
             1054155,Hz,              -34.43, dBm,
             1069988,Hz,              -55.74, dBm,
             1085821,Hz,              -62.81, dBm,
             1101654,Hz,              -61.68, dBm,
             1117487,Hz,              -60.15, dBm,
             1133320,Hz,              -60.85, dBm,
             1149153,Hz,              -61.51, dBm,
             1164986,Hz,              -59.11, dBm,
             1180819,Hz,              -58.98, dBm,
             1196652,Hz,              -60.14, dBm,
             1212485,Hz,              -55.91, dBm,
             1228318,Hz,              -54.18, dBm,
             1244151,Hz,              -54.42, dBm,
             1259984,Hz,              -58.85, dBm,
             1275817,Hz,              -61.35, dBm,
             1291650,Hz,              -61.17, dBm,
             1307483,Hz,              -61.08, dBm,
             1323316,Hz,              -60.19, dBm,
             1339149,Hz,              -60.66, dBm,
             1354982,Hz,              -67.68, dBm,
             1370815,Hz,              -71.10, dBm,
             1386648,Hz,              -69.96, dBm,
             1402481,Hz,              -64.97, dBm,
             1418314,Hz,              -64.07, dBm,
             1434147,Hz,              -64.17, dBm,
             1449980,Hz,              -65.01, dBm,
             1465813,Hz,              -69.06, dBm,
             1481646,Hz,              -66.37, dBm,
             1497479,Hz,              -66.39, dBm,
             1513312,Hz,              -72.25, dBm,
             1529145,Hz,              -70.42, dBm,
             1544978,Hz,              -70.10, dBm,
             1560811,Hz,              -72.36, dBm,
             1576644,Hz,              -74.22, dBm,
             1592477,Hz,              -73.21, dBm,
             1608310,Hz,              -73.34, dBm,
             1624143,Hz,              -75.58, dBm,
             1639976,Hz,              -76.56, dBm,
             1655809,Hz,              -76.65, dBm,
             1671642,Hz,              -76.92, dBm,
             1687475,Hz,              -84.21, dBm,
             1703308,Hz,              -79.58, dBm,
             1719141,Hz,              -76.96, dBm,
             1734974,Hz,              -76.42, dBm,
             1750807,Hz,              -76.04, dBm,
             1766640,Hz,              -78.67, dBm,
             1782473,Hz,              -75.33, dBm,
             1798306,Hz,              -74.37, dBm,
             1814139,Hz,              -75.42, dBm,
             1829972,Hz,              -78.39, dBm,
             1845805,Hz,              -77.77, dBm,
             1861638,Hz,              -77.79, dBm,
             1877471,Hz,              -77.82, dBm,
             1893304,Hz,              -80.73, dBm,
             1909137,Hz,              -81.61, dBm,
             1924970,Hz,              -79.77, dBm,
             1940803,Hz,              -74.73, dBm,
             1956636,Hz,              -74.69, dBm,
             1972469,Hz,              -78.16, dBm,
             1988302,Hz,              -76.51, dBm,
             2004135,Hz,              -74.98, dBm,
             2019968,Hz,              -75.16, dBm,
             2035801,Hz,              -75.46, dBm,
             2051634,Hz,              -75.46, dBm,
             2067467,Hz,              -79.50, dBm,
             2083300,Hz,              -72.76, dBm,
             2099133,Hz,              -72.05, dBm,
             2114966,Hz,              -72.94, dBm,
             2130799,Hz,              -75.91, dBm,
             2146632,Hz,              -75.82, dBm,
             2162465,Hz,              -75.38, dBm,
             2178298,Hz,              -76.41, dBm,
             2194131,Hz,              -77.51, dBm,
             2209964,Hz,              -77.34, dBm,
             2225797,Hz,              -79.38, dBm,
             2241630,Hz,              -79.41, dBm,
             2257463,Hz,              -79.41, dBm,
             2273296,Hz,              -80.72, dBm,
             2289129,Hz,              -78.33, dBm,
             2304962,Hz,              -78.33, dBm,
             2320795,Hz,              -79.65, dBm,
             2336628,Hz,              -79.70, dBm,
             2352461,Hz,              -84.28, dBm,
             2368294,Hz,              -85.26, dBm,
             2384127,Hz,              -79.72, dBm,
             2399960,Hz,              -76.37, dBm,
             2415793,Hz,              -76.89, dBm,
             2431626,Hz,              -84.42, dBm,
             2447459,Hz,              -83.30, dBm,
             2463292,Hz,              -77.18, dBm,
             2479125,Hz,              -77.11, dBm,
             2494958,Hz,              -81.50, dBm,
             2510791,Hz,              -81.50, dBm,
             2526624,Hz,              -83.43, dBm,
             2542457,Hz,              -76.95, dBm,
             2558290,Hz,              -74.09, dBm,
             2574123,Hz,              -73.17, dBm,
             2589956,Hz,              -72.15, dBm,
             2605789,Hz,              -73.65, dBm,
             2621622,Hz,              -73.76, dBm,
             2637455,Hz,              -72.15, dBm,
             2653288,Hz,              -72.15, dBm,
             2669121,Hz,              -74.60, dBm,
             2684954,Hz,              -76.99, dBm,
             2700787,Hz,              -73.58, dBm,
             2716620,Hz,              -70.10, dBm,
             2732453,Hz,              -70.10, dBm,
             2748286,Hz,              -68.99, dBm,
             2764119,Hz,              -65.38, dBm,
             2779952,Hz,              -65.21, dBm,
             2795785,Hz,              -66.61, dBm,
             2811618,Hz,              -69.81, dBm,
             2827451,Hz,              -70.32, dBm,
             2843284,Hz,              -70.84, dBm,
             2859117,Hz,              -72.25, dBm,
             2874950,Hz,              -72.10, dBm,
             2890783,Hz,              -73.51, dBm,
             2906616,Hz,              -71.46, dBm,
             2922449,Hz,              -56.03, dBm,
             2938282,Hz,              -37.07, dBm,
             2954115,Hz,              -25.42, dBm,
             2969948,Hz,              -19.32, dBm,
             2985781,Hz,              -17.02, dBm,
             3001614,Hz,              -17.02, dBm,
             3017447,Hz,              -20.44, dBm,
             3033280,Hz,              -27.44, dBm,
             3049113,Hz,              -39.99, dBm,
             3064946,Hz,              -60.16, dBm,
             3080779,Hz,              -71.13, dBm,
             3096612,Hz,              -71.47, dBm,
             3112445,Hz,              -68.42, dBm,
             3128278,Hz,              -68.38, dBm,
             3144111,Hz,              -69.35, dBm,
             3159944,Hz,              -70.05, dBm,
             3175777,Hz,              -70.54, dBm,
             3191610,Hz,              -67.00, dBm,
             3207443,Hz,              -66.28, dBm,
             3223276,Hz,              -67.94, dBm,
             3239109,Hz,              -69.47, dBm,
             3254942,Hz,              -68.37, dBm,
             3270775,Hz,              -69.48, dBm,
             3286608,Hz,              -70.35, dBm,
             3302441,Hz,              -71.08, dBm,
             3318274,Hz,              -73.38, dBm,
             3334107,Hz,              -73.38, dBm,
             3349940,Hz,              -75.00, dBm,
             3365773,Hz,              -75.52, dBm,
             3381606,Hz,              -74.66, dBm,
             3397439,Hz,              -74.31, dBm,
             3413272,Hz,              -76.75, dBm,
             3429105,Hz,              -77.50, dBm,
             3444938,Hz,              -78.40, dBm,
             3460771,Hz,              -78.40, dBm,
             3476604,Hz,              -77.60, dBm,
             3492437,Hz,              -77.24, dBm,
             3508270,Hz,              -79.74, dBm,
             3524103,Hz,              -79.84, dBm,
             3539936,Hz,              -79.81, dBm,
             3555769,Hz,              -79.98, dBm,
             3571602,Hz,              -76.37, dBm,
             3587435,Hz,              -76.10, dBm,
             3603268,Hz,              -77.29, dBm,
             3619101,Hz,              -83.19, dBm,
             3634934,Hz,              -85.06, dBm,
             3650767,Hz,              -80.14, dBm,
             3666600,Hz,              -78.19, dBm,
             3682433,Hz,              -78.44, dBm,
             3698266,Hz,              -84.41, dBm,
             3714099,Hz,              -86.44, dBm,
             3729932,Hz,              -79.68, dBm,
             3745765,Hz,              -76.92, dBm,
             3761598,Hz,              -76.88, dBm,
             3777431,Hz,              -78.84, dBm,
             3793264,Hz,              -84.07, dBm,
             3809097,Hz,              -88.94, dBm,
             3824930,Hz,              -85.07, dBm,
             3840763,Hz,              -81.49, dBm,
             3856596,Hz,              -82.30, dBm,
             3872429,Hz,              -85.06, dBm,
             3888262,Hz,              -83.74, dBm,
             3904095,Hz,              -84.47, dBm,
             3919928,Hz,              -80.92, dBm,
             3935761,Hz,              -76.96, dBm,
             3951594,Hz,              -76.96, dBm,
             3967427,Hz,              -79.30, dBm,
             3983260,Hz,              -84.93, dBm,
             3999093,Hz,              -85.87, dBm,
             4014926,Hz,              -86.95, dBm,
             4030759,Hz,              -85.06, dBm,
             4046592,Hz,              -82.34, dBm,
             4062425,Hz,              -81.95, dBm,
             4078258,Hz,              -82.88, dBm,
             4094091,Hz,              -78.82, dBm,
             4109924,Hz,              -78.38, dBm,
             4125757,Hz,              -80.98, dBm,
             4141590,Hz,              -83.48, dBm,
             4157423,Hz,              -84.30, dBm,
             4173256,Hz,              -79.86, dBm,
             4189089,Hz,              -79.33, dBm,
             4204922,Hz,              -81.65, dBm,
             4220755,Hz,              -80.24, dBm,
             4236588,Hz,              -79.88, dBm,
             4252421,Hz,              -82.12, dBm,
             4268254,Hz,              -85.64, dBm,
             4284087,Hz,              -89.85, dBm,
             4299920,Hz,              -82.68, dBm,
             4315753,Hz,              -79.92, dBm,
             4331586,Hz,              -79.91, dBm,
             4347419,Hz,              -80.85, dBm,
             4363252,Hz,              -81.53, dBm,
             4379085,Hz,              -85.75, dBm,
             4394918,Hz,              -86.38, dBm,
             4410751,Hz,              -83.30, dBm,
             4426584,Hz,              -80.01, dBm,
             4442417,Hz,              -79.62, dBm,
             4458250,Hz,              -80.02, dBm,
             4474083,Hz,              -80.41, dBm,
             4489916,Hz,              -82.07, dBm,
             4505749,Hz,              -85.87, dBm,
             4521582,Hz,              -83.63, dBm,
             4537415,Hz,              -76.81, dBm,
             4553248,Hz,              -75.53, dBm,
             4569081,Hz,              -75.61, dBm,
             4584914,Hz,              -75.88, dBm,
             4600747,Hz,              -76.69, dBm,
             4616580,Hz,              -82.22, dBm,
             4632413,Hz,              -79.85, dBm,
             4648246,Hz,              -74.06, dBm,
             4664079,Hz,              -74.10, dBm,
             4679912,Hz,              -73.04, dBm,
             4695745,Hz,              -73.19, dBm,
             4711578,Hz,              -76.49, dBm,
             4727411,Hz,              -76.92, dBm,
             4743244,Hz,              -72.49, dBm,
             4759077,Hz,              -71.14, dBm,
