Trace1,
Freq,,Amp,,
              500000,Hz,                1.20,  mV,
              515833,Hz,                1.69,  mV,
              531666,Hz,                2.21,  mV,
              547499,Hz,                2.85,  mV,
              563332,Hz,                3.64,  mV,
              579165,Hz,                4.59,  mV,
              594998,Hz,                5.92,  mV,
              610831,Hz,                7.31,  mV,
              626664,Hz,                9.33,  mV,
              642497,Hz,               11.01,  mV,
              658330,Hz,               13.64,  mV,
              674163,Hz,               15.97,  mV,
              689996,Hz,               19.58,  mV,
              705829,Hz,               22.64,  mV,
              721662,Hz,               26.98,  mV,
              737495,Hz,               30.37,  mV,
              753328,Hz,               35.52,  mV,
              769161,Hz,               40.02,  mV,
              784994,Hz,               44.89,  mV,
              800827,Hz,               49.75,  mV,
              816660,Hz,               54.81,  mV,
              832493,Hz,               59.97,  mV,
              848326,Hz,               65.63,  mV,
              864159,Hz,               70.21,  mV,
              879992,Hz,               75.52,  mV,
              895825,Hz,               79.18,  mV,
              911658,Hz,               83.46,  mV,
              927491,Hz,               87.00,  mV,
              943324,Hz,               90.22,  mV,
              959157,Hz,               92.44,  mV,
              974990,Hz,               94.20,  mV,
              990823,Hz,               95.21,  mV,
             1006656,Hz,               95.71,  mV,
             1022489,Hz,               95.70,  mV,
             1038322,Hz,               95.29,  mV,
             1054155,Hz,               94.12,  mV,
             1069988,Hz,               92.48,  mV,
             1085821,Hz,               89.84,  mV,
             1101654,Hz,               86.90,  mV,
             1117487,Hz,               82.80,  mV,
             1133320,Hz,               78.94,  mV,
             1149153,Hz,               74.50,  mV,
             1164986,Hz,               70.03,  mV,
             1180819,Hz,               64.51,  mV,
             1196652,Hz,               59.49,  mV,
             1212485,Hz,               53.97,  mV,
             1228318,Hz,               49.12,  mV,
             1244151,Hz,               43.60,  mV,
             1259984,Hz,               39.28,  mV,
             1275817,Hz,               34.53,  mV,
             1291650,Hz,               29.92,  mV,
             1307483,Hz,               25.58,  mV,
             1323316,Hz,               22.24,  mV,
             1339149,Hz,               18.49,  mV,
             1354982,Hz,               16.05,  mV,
             1370815,Hz,               13.00,  mV,
             1386648,Hz,               10.64,  mV,
             1402481,Hz,                8.73,  mV,
             1418314,Hz,                7.20,  mV,
             1434147,Hz,                5.66,  mV,
             1449980,Hz,                4.44,  mV,
             1465813,Hz,                3.52,  mV,
             1481646,Hz,                2.71,  mV,
             1497479,Hz,                2.01,  mV,
             1513312,Hz,                1.68,  mV,
             1529145,Hz,                1.12,  mV,
             1544978,Hz,              845.02,  uV,
             1560811,Hz,              677.31,  uV,
             1576644,Hz,              478.95,  uV,
             1592477,Hz,              354.57,  uV,
             1608310,Hz,              246.02,  uV,
             1624143,Hz,              172.05,  uV,
             1639976,Hz,              140.22,  uV,
             1655809,Hz,              172.60,  uV,
             1671642,Hz,              194.43,  uV,
             1687475,Hz,              204.32,  uV,
             1703308,Hz,              204.30,  uV,
             1719141,Hz,              153.20,  uV,
             1734974,Hz,               82.88,  uV,
             1750807,Hz,               62.22,  uV,
             1766640,Hz,               67.27,  uV,
             1782473,Hz,               58.50,  uV,
             1798306,Hz,               64.71,  uV,
             1814139,Hz,               65.42,  uV,
             1829972,Hz,               64.20,  uV,
             1845805,Hz,               64.00,  uV,
             1861638,Hz,               88.23,  uV,
             1877471,Hz,              109.73,  uV,
             1893304,Hz,              113.51,  uV,
             1909137,Hz,              100.28,  uV,
             1924970,Hz,               83.45,  uV,
             1940803,Hz,               55.99,  uV,
             1956636,Hz,              109.34,  uV,
             1972469,Hz,              150.28,  uV,
             1988302,Hz,              149.56,  uV,
             2004135,Hz,              101.55,  uV,
             2019968,Hz,               91.51,  uV,
             2035801,Hz,               93.05,  uV,
             2051634,Hz,               90.50,  uV,
             2067467,Hz,               66.00,  uV,
             2083300,Hz,               46.28,  uV,
             2099133,Hz,               46.66,  uV,
             2114966,Hz,               84.53,  uV,
             2130799,Hz,               87.42,  uV,
             2146632,Hz,               48.08,  uV,
             2162465,Hz,               66.44,  uV,
             2178298,Hz,               90.40,  uV,
             2194131,Hz,               85.84,  uV,
             2209964,Hz,               46.06,  uV,
             2225797,Hz,              105.69,  uV,
             2241630,Hz,              120.05,  uV,
             2257463,Hz,              118.95,  uV,
             2273296,Hz,               80.87,  uV,
             2289129,Hz,               98.51,  uV,
             2304962,Hz,              107.41,  uV,
             2320795,Hz,              107.90,  uV,
             2336628,Hz,               72.86,  uV,
             2352461,Hz,               48.59,  uV,
             2368294,Hz,               38.18,  uV,
             2384127,Hz,               60.07,  uV,
             2399960,Hz,              102.24,  uV,
             2415793,Hz,              120.87,  uV,
             2431626,Hz,              126.12,  uV,
             2447459,Hz,              161.28,  uV,
             2463292,Hz,              182.84,  uV,
             2479125,Hz,              287.92,  uV,
             2494958,Hz,              377.42,  uV,
             2510791,Hz,              452.57,  uV,
             2526624,Hz,              660.74,  uV,
             2542457,Hz,              846.07,  uV,
             2558290,Hz,                1.05,  mV,
             2574123,Hz,                1.43,  mV,
             2589956,Hz,                1.75,  mV,
             2605789,Hz,                2.21,  mV,
             2621622,Hz,                2.90,  mV,
             2637455,Hz,                3.36,  mV,
             2653288,Hz,                4.21,  mV,
             2669121,Hz,                5.08,  mV,
             2684954,Hz,                6.03,  mV,
             2700787,Hz,                7.07,  mV,
             2716620,Hz,                8.35,  mV,
             2732453,Hz,                9.51,  mV,
             2748286,Hz,               11.13,  mV,
             2764119,Hz,               12.55,  mV,
             2779952,Hz,               14.32,  mV,
             2795785,Hz,               15.85,  mV,
             2811618,Hz,               17.51,  mV,
             2827451,Hz,               19.12,  mV,
             2843284,Hz,               21.03,  mV,
             2859117,Hz,               22.49,  mV,
             2874950,Hz,               24.18,  mV,
             2890783,Hz,               25.73,  mV,
             2906616,Hz,               27.12,  mV,
             2922449,Hz,               28.19,  mV,
             2938282,Hz,               29.39,  mV,
             2954115,Hz,               30.19,  mV,
             2969948,Hz,               30.86,  mV,
             2985781,Hz,               31.29,  mV,
             3001614,Hz,               31.55,  mV,
             3017447,Hz,               31.56,  mV,
             3033280,Hz,               31.48,  mV,
             3049113,Hz,               31.16,  mV,
             3064946,Hz,               30.71,  mV,
             3080779,Hz,               29.89,  mV,
             3096612,Hz,               28.97,  mV,
             3112445,Hz,               27.75,  mV,
             3128278,Hz,               26.58,  mV,
             3144111,Hz,               25.04,  mV,
             3159944,Hz,               23.64,  mV,
             3175777,Hz,               21.86,  mV,
             3191610,Hz,               20.15,  mV,
             3207443,Hz,               18.51,  mV,
             3223276,Hz,               17.06,  mV,
             3239109,Hz,               14.93,  mV,
             3254942,Hz,               13.47,  mV,
             3270775,Hz,               11.97,  mV,
             3286608,Hz,               10.31,  mV,
             3302441,Hz,                8.95,  mV,
             3318274,Hz,                7.90,  mV,
             3334107,Hz,                6.58,  mV,
             3349940,Hz,                5.54,  mV,
             3365773,Hz,                4.55,  mV,
             3381606,Hz,                3.80,  mV,
             3397439,Hz,                3.08,  mV,
             3413272,Hz,                2.61,  mV,
             3429105,Hz,                1.99,  mV,
             3444938,Hz,                1.61,  mV,
             3460771,Hz,                1.26,  mV,
             3476604,Hz,              995.85,  uV,
             3492437,Hz,              744.01,  uV,
             3508270,Hz,              570.81,  uV,
             3524103,Hz,              436.11,  uV,
             3539936,Hz,              353.18,  uV,
             3555769,Hz,              234.60,  uV,
             3571602,Hz,              224.25,  uV,
             3587435,Hz,              119.63,  uV,
             3603268,Hz,               98.12,  uV,
             3619101,Hz,               80.67,  uV,
             3634934,Hz,              106.16,  uV,
             3650767,Hz,              106.09,  uV,
             3666600,Hz,               88.68,  uV,
             3682433,Hz,               61.63,  uV,
             3698266,Hz,               49.28,  uV,
             3714099,Hz,               35.86,  uV,
             3729932,Hz,               39.69,  uV,
             3745765,Hz,               47.17,  uV,
             3761598,Hz,               46.49,  uV,
             3777431,Hz,               31.70,  uV,
             3793264,Hz,               18.59,  uV,
             3809097,Hz,               33.01,  uV,
             3824930,Hz,               44.92,  uV,
             3840763,Hz,               88.56,  uV,
             3856596,Hz,               91.03,  uV,
             3872429,Hz,               62.14,  uV,
             3888262,Hz,               39.22,  uV,
             3904095,Hz,               33.33,  uV,
             3919928,Hz,               35.31,  uV,
             3935761,Hz,               34.50,  uV,
             3951594,Hz,               17.71,  uV,
             3967427,Hz,               30.06,  uV,
             3983260,Hz,               41.50,  uV,
             3999093,Hz,               46.53,  uV,
             4014926,Hz,               42.75,  uV,
             4030759,Hz,               62.38,  uV,
             4046592,Hz,               66.50,  uV,
             4062425,Hz,               72.22,  uV,
             4078258,Hz,               67.12,  uV,
             4094091,Hz,               57.14,  uV,
             4109924,Hz,               75.99,  uV,
             4125757,Hz,              101.87,  uV,
             4141590,Hz,              101.90,  uV,
             4157423,Hz,               87.48,  uV,
             4173256,Hz,               39.76,  uV,
             4189089,Hz,               41.24,  uV,
             4204922,Hz,               27.08,  uV,
             4220755,Hz,               36.97,  uV,
