Trace1,
Freq,,Amp,,
            88000000,Hz,              -91.09, dBm,
            88035666,Hz,              -91.50, dBm,
            88071332,Hz,              -89.92, dBm,
            88106998,Hz,              -89.70, dBm,
            88142664,Hz,              -91.00, dBm,
            88178330,Hz,              -89.29, dBm,
            88213996,Hz,              -91.38, dBm,
            88249662,Hz,              -89.72, dBm,
            88285328,Hz,              -89.15, dBm,
            88320994,Hz,              -86.05, dBm,
            88356660,Hz,              -89.25, dBm,
            88392326,Hz,              -82.65, dBm,
            88427992,Hz,              -88.58, dBm,
            88463658,Hz,              -90.36, dBm,
            88499324,Hz,              -91.09, dBm,
            88534990,Hz,              -90.16, dBm,
            88570656,Hz,              -90.29, dBm,
            88606322,Hz,              -90.45, dBm,
            88641988,Hz,              -89.50, dBm,
            88677654,Hz,              -89.13, dBm,
            88713320,Hz,              -92.08, dBm,
            88748986,Hz,              -90.96, dBm,
            88784652,Hz,              -86.89, dBm,
            88820318,Hz,              -86.51, dBm,
            88855984,Hz,              -71.36, dBm,
            88891650,Hz,              -70.35, dBm,
            88927316,Hz,              -70.47, dBm,
            88962982,Hz,              -87.83, dBm,
            88998648,Hz,              -89.12, dBm,
            89034314,Hz,              -91.33, dBm,
            89069980,Hz,              -88.80, dBm,
            89105646,Hz,              -86.89, dBm,
            89141312,Hz,              -88.58, dBm,
            89176978,Hz,              -92.08, dBm,
            89212644,Hz,              -89.31, dBm,
            89248310,Hz,              -91.62, dBm,
            89283976,Hz,              -87.51, dBm,
            89319642,Hz,              -91.43, dBm,
            89355308,Hz,              -89.06, dBm,
            89390974,Hz,              -90.81, dBm,
            89426640,Hz,              -88.33, dBm,
            89462306,Hz,              -90.40, dBm,
            89497972,Hz,              -90.40, dBm,
            89533638,Hz,              -88.22, dBm,
            89569304,Hz,              -87.70, dBm,
            89604970,Hz,              -90.69, dBm,
            89640636,Hz,              -92.15, dBm,
            89676302,Hz,              -89.97, dBm,
            89711968,Hz,              -90.16, dBm,
            89747634,Hz,              -87.58, dBm,
            89783300,Hz,              -82.11, dBm,
            89818966,Hz,              -56.66, dBm,
            89854632,Hz,              -56.04, dBm,
            89890298,Hz,              -56.28, dBm,
            89925964,Hz,              -55.73, dBm,
            89961630,Hz,              -88.23, dBm,
            89997296,Hz,              -87.57, dBm,
            90032962,Hz,              -88.15, dBm,
            90068628,Hz,              -92.73, dBm,
            90104294,Hz,              -92.05, dBm,
            90139960,Hz,              -91.68, dBm,
            90175626,Hz,              -91.14, dBm,
            90211292,Hz,              -90.81, dBm,
            90246958,Hz,              -91.41, dBm,
            90282624,Hz,              -92.43, dBm,
            90318290,Hz,              -87.87, dBm,
            90353956,Hz,              -80.44, dBm,
            90389622,Hz,              -79.90, dBm,
            90425288,Hz,              -85.49, dBm,
            90460954,Hz,              -88.96, dBm,
            90496620,Hz,              -87.72, dBm,
            90532286,Hz,              -91.25, dBm,
            90567952,Hz,              -87.96, dBm,
            90603618,Hz,              -86.51, dBm,
            90639284,Hz,              -88.74, dBm,
            90674950,Hz,              -87.07, dBm,
            90710616,Hz,              -90.18, dBm,
            90746282,Hz,              -89.21, dBm,
            90781948,Hz,              -87.88, dBm,
            90817614,Hz,              -53.46, dBm,
            90853280,Hz,              -51.69, dBm,
            90888946,Hz,              -55.53, dBm,
            90924612,Hz,              -54.25, dBm,
            90960278,Hz,              -64.12, dBm,
            90995944,Hz,              -68.50, dBm,
            91031610,Hz,              -78.92, dBm,
            91067276,Hz,              -90.40, dBm,
            91102942,Hz,              -90.31, dBm,
            91138608,Hz,              -89.27, dBm,
            91174274,Hz,              -90.11, dBm,
            91209940,Hz,              -92.56, dBm,
            91245606,Hz,              -90.47, dBm,
            91281272,Hz,              -87.10, dBm,
            91316938,Hz,              -90.68, dBm,
            91352604,Hz,              -89.02, dBm,
            91388270,Hz,              -86.92, dBm,
            91423936,Hz,              -90.76, dBm,
            91459602,Hz,              -87.48, dBm,
            91495268,Hz,              -93.49, dBm,
            91530934,Hz,              -89.80, dBm,
            91566600,Hz,              -92.10, dBm,
            91602266,Hz,              -90.15, dBm,
            91637932,Hz,              -87.47, dBm,
            91673598,Hz,              -91.73, dBm,
            91709264,Hz,              -89.43, dBm,
            91744930,Hz,              -88.17, dBm,
            91780596,Hz,              -90.01, dBm,
            91816262,Hz,              -81.72, dBm,
            91851928,Hz,              -68.60, dBm,
            91887594,Hz,              -55.63, dBm,
            91923260,Hz,              -65.84, dBm,
            91958926,Hz,              -88.30, dBm,
            91994592,Hz,              -92.92, dBm,
            92030258,Hz,              -91.12, dBm,
            92065924,Hz,              -93.24, dBm,
            92101590,Hz,              -92.06, dBm,
            92137256,Hz,              -89.70, dBm,
            92172922,Hz,              -94.26, dBm,
            92208588,Hz,              -89.71, dBm,
            92244254,Hz,              -89.14, dBm,
