Trace1,
Freq,,Amp,,
              500000,Hz,              -45.16, dBm,
              515833,Hz,              -42.61, dBm,
              531666,Hz,              -40.50, dBm,
              547499,Hz,              -37.91, dBm,
              563332,Hz,              -35.84, dBm,
              579165,Hz,              -33.76, dBm,
              594998,Hz,              -31.39, dBm,
              610831,Hz,              -29.65, dBm,
              626664,Hz,              -27.74, dBm,
              642497,Hz,              -26.04, dBm,
              658330,Hz,              -24.45, dBm,
              674163,Hz,              -22.81, dBm,
              689996,Hz,              -21.03, dBm,
              705829,Hz,              -19.94, dBm,
              721662,Hz,              -18.43, dBm,
              737495,Hz,              -17.27, dBm,
              753328,Hz,              -16.03, dBm,
              769161,Hz,              -15.04, dBm,
              784994,Hz,              -13.87, dBm,
              800827,Hz,              -13.07, dBm,
              816660,Hz,              -12.19, dBm,
              832493,Hz,              -11.41, dBm,
              848326,Hz,              -10.65, dBm,
              864159,Hz,              -10.02, dBm,
              879992,Hz,               -9.45, dBm,
              895825,Hz,               -8.99, dBm,
              911658,Hz,               -8.56, dBm,
              927491,Hz,               -8.20, dBm,
              943324,Hz,               -7.86, dBm,
              959157,Hz,               -7.67, dBm,
              974990,Hz,               -7.50, dBm,
              990823,Hz,               -7.40, dBm,
             1006656,Hz,               -7.37, dBm,
             1022489,Hz,               -7.38, dBm,
             1038322,Hz,               -7.41, dBm,
             1054155,Hz,               -7.52, dBm,
             1069988,Hz,               -7.69, dBm,
             1085821,Hz,               -7.93, dBm,
             1101654,Hz,               -8.19, dBm,
             1117487,Hz,               -8.61, dBm,
             1133320,Hz,               -9.07, dBm,
             1149153,Hz,               -9.58, dBm,
             1164986,Hz,              -10.09, dBm,
             1180819,Hz,              -10.79, dBm,
             1196652,Hz,              -11.51, dBm,
             1212485,Hz,              -12.26, dBm,
             1228318,Hz,              -13.11, dBm,
             1244151,Hz,              -14.27, dBm,
             1259984,Hz,              -15.10, dBm,
             1275817,Hz,              -16.26, dBm,
             1291650,Hz,              -17.43, dBm,
             1307483,Hz,              -18.79, dBm,
             1323316,Hz,              -20.09, dBm,
             1339149,Hz,              -21.56, dBm,
             1354982,Hz,              -23.04, dBm,
             1370815,Hz,              -24.67, dBm,
             1386648,Hz,              -26.26, dBm,
             1402481,Hz,              -28.27, dBm,
             1418314,Hz,              -29.97, dBm,
             1434147,Hz,              -32.03, dBm,
             1449980,Hz,              -33.83, dBm,
             1465813,Hz,              -36.18, dBm,
             1481646,Hz,              -38.43, dBm,
             1497479,Hz,              -40.71, dBm,
             1513312,Hz,              -42.99, dBm,
             1529145,Hz,              -45.22, dBm,
             1544978,Hz,              -48.60, dBm,
             1560811,Hz,              -50.61, dBm,
             1576644,Hz,              -53.35, dBm,
             1592477,Hz,              -56.75, dBm,
             1608310,Hz,              -59.28, dBm,
             1624143,Hz,              -61.92, dBm,
             1639976,Hz,              -61.92, dBm,
             1655809,Hz,              -63.44, dBm,
             1671642,Hz,              -63.06, dBm,
             1687475,Hz,              -63.02, dBm,
             1703308,Hz,              -64.23, dBm,
             1719141,Hz,              -66.05, dBm,
             1734974,Hz,              -66.52, dBm,
             1750807,Hz,              -70.05, dBm,
             1766640,Hz,              -69.72, dBm,
             1782473,Hz,              -68.60, dBm,
             1798306,Hz,              -66.53, dBm,
             1814139,Hz,              -67.16, dBm,
             1829972,Hz,              -71.49, dBm,
             1845805,Hz,              -71.41, dBm,
             1861638,Hz,              -72.61, dBm,
             1877471,Hz,              -68.92, dBm,
             1893304,Hz,              -68.56, dBm,
             1909137,Hz,              -71.43, dBm,
             1924970,Hz,              -66.42, dBm,
             1940803,Hz,              -65.34, dBm,
             1956636,Hz,              -64.16, dBm,
             1972469,Hz,              -64.00, dBm,
             1988302,Hz,              -65.39, dBm,
             2004135,Hz,              -71.43, dBm,
             2019968,Hz,              -71.17, dBm,
             2035801,Hz,              -67.47, dBm,
             2051634,Hz,              -65.51, dBm,
             2067467,Hz,              -66.97, dBm,
