Trace1,
Freq,,Amp,,
              500000,Hz,               28.98,  uV,
              515833,Hz,               29.51,  uV,
              531666,Hz,               28.93,  uV,
              547499,Hz,               24.34,  uV,
              563332,Hz,               58.36,  uV,
              579165,Hz,               63.60,  uV,
              594998,Hz,               44.09,  uV,
              610831,Hz,               44.73,  uV,
              626664,Hz,               71.19,  uV,
              642497,Hz,               66.90,  uV,
              658330,Hz,               59.49,  uV,
              674163,Hz,               71.82,  uV,
              689996,Hz,              107.35,  uV,
              705829,Hz,               81.11,  uV,
              721662,Hz,               68.23,  uV,
              737495,Hz,               53.37,  uV,
              753328,Hz,              120.76,  uV,
              769161,Hz,              102.35,  uV,
              784994,Hz,              115.12,  uV,
              800827,Hz,              121.16,  uV,
              816660,Hz,              106.94,  uV,
              832493,Hz,               88.72,  uV,
              848326,Hz,               88.60,  uV,
              864159,Hz,               73.46,  uV,
              879992,Hz,               86.73,  uV,
              895825,Hz,               93.87,  uV,
              911658,Hz,              179.76,  uV,
              927491,Hz,               89.01,  uV,
              943324,Hz,               89.64,  uV,
              959157,Hz,               86.90,  uV,
              974990,Hz,              163.29,  uV,
              990823,Hz,               95.61,  mV,
             1006656,Hz,                1.02,  mV,
             1022489,Hz,              142.76,  uV,
             1038322,Hz,              143.75,  uV,
             1054155,Hz,              107.62,  uV,
             1069988,Hz,              105.78,  uV,
             1085821,Hz,               51.63,  uV,
             1101654,Hz,               54.17,  uV,
             1117487,Hz,               83.09,  uV,
             1133320,Hz,              129.22,  uV,
             1149153,Hz,               90.12,  uV,
             1164986,Hz,              137.51,  uV,
             1180819,Hz,               90.71,  uV,
             1196652,Hz,              110.14,  uV,
             1212485,Hz,              107.89,  uV,
             1228318,Hz,              120.02,  uV,
             1244151,Hz,              117.15,  uV,
             1259984,Hz,               68.18,  uV,
             1275817,Hz,              117.65,  uV,
             1291650,Hz,               82.41,  uV,
             1307483,Hz,               50.34,  uV,
             1323316,Hz,               61.46,  uV,
             1339149,Hz,               54.87,  uV,
             1354982,Hz,               63.02,  uV,
             1370815,Hz,               55.47,  uV,
             1386648,Hz,               52.92,  uV,
             1402481,Hz,               25.81,  uV,
             1418314,Hz,               54.66,  uV,
             1434147,Hz,               33.13,  uV,
             1449980,Hz,               31.98,  uV,
             1465813,Hz,               27.46,  uV,
             1481646,Hz,               31.95,  uV,
             1497479,Hz,               27.11,  uV,
             1513312,Hz,               27.98,  uV,
             1529145,Hz,               25.53,  uV,
             1544978,Hz,               16.39,  uV,
             1560811,Hz,               20.22,  uV,
             1576644,Hz,               15.77,  uV,
             1592477,Hz,               21.55,  uV,
             1608310,Hz,               21.15,  uV,
             1624143,Hz,               14.52,  uV,
             1639976,Hz,               13.66,  uV,
             1655809,Hz,               18.26,  uV,
             1671642,Hz,               16.66,  uV,
             1687475,Hz,               21.12,  uV,
             1703308,Hz,               12.30,  uV,
             1719141,Hz,               13.92,  uV,
             1734974,Hz,               13.63,  uV,
             1750807,Hz,               16.21,  uV,
             1766640,Hz,               18.46,  uV,
             1782473,Hz,               18.22,  uV,
             1798306,Hz,                9.29,  uV,
             1814139,Hz,               12.75,  uV,
             1829972,Hz,               15.87,  uV,
             1845805,Hz,                9.05,  uV,
             1861638,Hz,               14.08,  uV,
             1877471,Hz,               13.49,  uV,
             1893304,Hz,               14.53,  uV,
             1909137,Hz,               16.34,  uV,
             1924970,Hz,               13.85,  uV,
             1940803,Hz,               10.94,  uV,
             1956636,Hz,               13.04,  uV,
             1972469,Hz,               11.03,  uV,
             1988302,Hz,               29.74,  uV,
             2004135,Hz,               12.86,  uV,
             2019968,Hz,                7.77,  uV,
             2035801,Hz,               10.83,  uV,
             2051634,Hz,               13.64,  uV,
             2067467,Hz,                9.56,  uV,
             2083300,Hz,               11.70,  uV,
             2099133,Hz,               12.70,  uV,
             2114966,Hz,               12.65,  uV,
             2130799,Hz,               16.30,  uV,
             2146632,Hz,               15.92,  uV,
             2162465,Hz,               12.45,  uV,
             2178298,Hz,               10.56,  uV,
             2194131,Hz,               13.74,  uV,
             2209964,Hz,                8.20,  uV,
             2225797,Hz,                8.13,  uV,
             2241630,Hz,               15.98,  uV,
             2257463,Hz,               10.51,  uV,
             2273296,Hz,                9.20,  uV,
             2289129,Hz,               13.55,  uV,
             2304962,Hz,               13.79,  uV,
             2320795,Hz,               14.75,  uV,
             2336628,Hz,               10.35,  uV,
             2352461,Hz,                8.34,  uV,
             2368294,Hz,                9.54,  uV,
             2384127,Hz,               10.54,  uV,
             2399960,Hz,                9.82,  uV,
             2415793,Hz,               14.85,  uV,
             2431626,Hz,                8.88,  uV,
             2447459,Hz,               12.41,  uV,
             2463292,Hz,               10.01,  uV,
             2479125,Hz,                8.31,  uV,
             2494958,Hz,                8.25,  uV,
             2510791,Hz,               11.14,  uV,
             2526624,Hz,               13.81,  uV,
             2542457,Hz,               11.46,  uV,
             2558290,Hz,               21.53,  uV,
             2574123,Hz,               18.16,  uV,
             2589956,Hz,               19.85,  uV,
             2605789,Hz,               23.24,  uV,
             2621622,Hz,               24.63,  uV,
             2637455,Hz,               18.69,  uV,
             2653288,Hz,               21.50,  uV,
             2669121,Hz,               18.58,  uV,
             2684954,Hz,               26.97,  uV,
             2700787,Hz,               25.40,  uV,
             2716620,Hz,               19.49,  uV,
             2732453,Hz,               37.73,  uV,
             2748286,Hz,               48.63,  uV,
             2764119,Hz,               39.40,  uV,
             2779952,Hz,               36.05,  uV,
             2795785,Hz,               33.66,  uV,
             2811618,Hz,               48.26,  uV,
             2827451,Hz,               33.56,  uV,
             2843284,Hz,               28.52,  uV,
             2859117,Hz,               32.88,  uV,
             2874950,Hz,               38.67,  uV,
             2890783,Hz,               26.86,  uV,
             2906616,Hz,               26.21,  uV,
             2922449,Hz,               39.11,  uV,
             2938282,Hz,               37.96,  uV,
             2954115,Hz,               38.34,  uV,
             2969948,Hz,               36.82,  uV,
             2985781,Hz,               31.53,  mV,
             3001614,Hz,               26.78,  mV,
             3017447,Hz,               43.46,  uV,
             3033280,Hz,               36.13,  uV,
             3049113,Hz,               40.51,  uV,
             3064946,Hz,               58.03,  uV,
             3080779,Hz,               31.61,  uV,
             3096612,Hz,               25.52,  uV,
             3112445,Hz,               42.35,  uV,
             3128278,Hz,               28.72,  uV,
             3144111,Hz,               36.32,  uV,
             3159944,Hz,               27.70,  uV,
             3175777,Hz,               30.96,  uV,
             3191610,Hz,               39.14,  uV,
             3207443,Hz,               32.00,  uV,
             3223276,Hz,               37.12,  uV,
             3239109,Hz,               27.23,  uV,
             3254942,Hz,               34.65,  uV,
             3270775,Hz,               36.63,  uV,
