Trace1,
Freq,,Amp,,
              500000,Hz,               52.50,  uV,
              515833,Hz,               69.91,  uV,
              531666,Hz,               69.91,  uV,
              547499,Hz,               43.24,  uV,
              563332,Hz,               48.15,  uV,
              579165,Hz,               62.19,  uV,
              594998,Hz,               70.69,  uV,
              610831,Hz,              123.51,  uV,
              626664,Hz,              125.94,  uV,
              642497,Hz,               85.87,  uV,
              658330,Hz,               98.75,  uV,
              674163,Hz,              100.26,  uV,
              689996,Hz,               92.78,  uV,
              705829,Hz,               84.97,  uV,
              721662,Hz,              111.80,  uV,
              737495,Hz,               96.00,  uV,
              753328,Hz,               91.52,  uV,
              769161,Hz,              168.89,  uV,
              784994,Hz,              301.95,  uV,
              800827,Hz,              301.92,  uV,
              816660,Hz,              198.65,  uV,
              832493,Hz,              169.25,  uV,
              848326,Hz,              175.97,  uV,
              864159,Hz,              223.77,  uV,
              879992,Hz,              223.75,  uV,
              895825,Hz,              152.70,  uV,
              911658,Hz,              250.37,  uV,
              927491,Hz,                2.05,  mV,
              943324,Hz,               15.45,  mV,
              959157,Hz,               43.67,  mV,
              974990,Hz,               84.50,  mV,
              990823,Hz,               95.42,  mV,
             1006656,Hz,               94.01,  mV,
             1022489,Hz,               56.33,  mV,
             1038322,Hz,               19.22,  mV,
             1054155,Hz,                4.57,  mV,
             1069988,Hz,              388.14,  uV,
             1085821,Hz,               93.15,  uV,
             1101654,Hz,              118.90,  uV,
             1117487,Hz,              118.88,  uV,
             1133320,Hz,              118.34,  uV,
             1149153,Hz,              222.43,  uV,
             1164986,Hz,              282.38,  uV,
             1180819,Hz,              262.04,  uV,
             1196652,Hz,              281.87,  uV,
             1212485,Hz,              281.84,  uV,
             1228318,Hz,              215.13,  uV,
             1244151,Hz,              198.83,  uV,
             1259984,Hz,              178.69,  uV,
             1275817,Hz,              219.29,  uV,
             1291650,Hz,              296.94,  uV,
             1307483,Hz,              261.23,  uV,
             1323316,Hz,              123.88,  uV,
             1339149,Hz,              139.96,  uV,
             1354982,Hz,              111.44,  uV,
             1370815,Hz,              124.93,  uV,
             1386648,Hz,              116.24,  uV,
             1402481,Hz,               70.67,  uV,
             1418314,Hz,               62.29,  uV,
             1434147,Hz,               38.23,  uV,
             1449980,Hz,               48.70,  uV,
             1465813,Hz,               88.60,  uV,
             1481646,Hz,              133.70,  uV,
             1497479,Hz,              132.02,  uV,
             1513312,Hz,               81.99,  uV,
             1529145,Hz,               32.27,  uV,
             1544978,Hz,               42.82,  uV,
             1560811,Hz,               40.98,  uV,
             1576644,Hz,               30.49,  uV,
             1592477,Hz,               38.15,  uV,
             1608310,Hz,               39.39,  uV,
             1624143,Hz,               34.29,  uV,
             1639976,Hz,               26.28,  uV,
             1655809,Hz,               26.91,  uV,
             1671642,Hz,               37.60,  uV,
             1687475,Hz,               39.93,  uV,
             1703308,Hz,               39.12,  uV,
             1719141,Hz,               26.11,  uV,
             1734974,Hz,               20.81,  uV,
             1750807,Hz,               18.10,  uV,
             1766640,Hz,               27.65,  uV,
             1782473,Hz,               29.37,  uV,
             1798306,Hz,               19.27,  uV,
             1814139,Hz,               21.50,  uV,
             1829972,Hz,               23.05,  uV,
             1845805,Hz,               25.43,  uV,
             1861638,Hz,               24.79,  uV,
             1877471,Hz,               17.41,  uV,
             1893304,Hz,               25.59,  uV,
             1909137,Hz,               29.56,  uV,
             1924970,Hz,               27.29,  uV,
             1940803,Hz,               21.22,  uV,
             1956636,Hz,               23.79,  uV,
             1972469,Hz,               27.59,  uV,
             1988302,Hz,               26.67,  uV,
             2004135,Hz,               23.39,  uV,
             2019968,Hz,               20.22,  uV,
             2035801,Hz,               21.92,  uV,
             2051634,Hz,               24.21,  uV,
             2067467,Hz,               26.15,  uV,
             2083300,Hz,               24.27,  uV,
             2099133,Hz,               24.25,  uV,
             2114966,Hz,               16.64,  uV,
             2130799,Hz,               17.24,  uV,
             2146632,Hz,               23.61,  uV,
             2162465,Hz,               20.84,  uV,
             2178298,Hz,               11.85,  uV,
             2194131,Hz,               10.89,  uV,
             2209964,Hz,               16.32,  uV,
             2225797,Hz,               21.15,  uV,
             2241630,Hz,               21.13,  uV,
             2257463,Hz,               18.95,  uV,
             2273296,Hz,               19.38,  uV,
             2289129,Hz,               27.41,  uV,
             2304962,Hz,               29.17,  uV,
             2320795,Hz,               36.22,  uV,
             2336628,Hz,               37.40,  uV,
             2352461,Hz,               24.14,  uV,
             2368294,Hz,               15.41,  uV,
             2384127,Hz,               29.09,  uV,
             2399960,Hz,               29.28,  uV,
             2415793,Hz,               36.61,  uV,
             2431626,Hz,               37.44,  uV,
             2447459,Hz,               28.95,  uV,
             2463292,Hz,               25.73,  uV,
             2479125,Hz,               13.33,  uV,
             2494958,Hz,                7.28,  uV,
             2510791,Hz,               25.02,  uV,
             2526624,Hz,               25.61,  uV,
             2542457,Hz,               16.69,  uV,
             2558290,Hz,               33.47,  uV,
             2574123,Hz,               54.48,  uV,
             2589956,Hz,               59.52,  uV,
             2605789,Hz,               59.16,  uV,
             2621622,Hz,               49.58,  uV,
             2637455,Hz,               62.97,  uV,
             2653288,Hz,               61.10,  uV,
             2669121,Hz,               63.63,  uV,
             2684954,Hz,               63.86,  uV,
             2700787,Hz,               49.26,  uV,
             2716620,Hz,               48.76,  uV,
             2732453,Hz,               47.39,  uV,
             2748286,Hz,               39.15,  uV,
             2764119,Hz,               53.19,  uV,
             2779952,Hz,               54.81,  uV,
             2795785,Hz,              105.32,  uV,
             2811618,Hz,              126.00,  uV,
             2827451,Hz,              124.32,  uV,
             2843284,Hz,               75.07,  uV,
             2859117,Hz,               48.84,  uV,
             2874950,Hz,               55.49,  uV,
             2890783,Hz,               52.77,  uV,
             2906616,Hz,               65.10,  uV,
             2922449,Hz,              316.51,  uV,
             2938282,Hz,                2.95,  mV,
             2954115,Hz,               11.43,  mV,
             2969948,Hz,               23.59,  mV,
             2985781,Hz,               31.48,  mV,
             3001614,Hz,               31.48,  mV,
             3017447,Hz,               21.81,  mV,
             3033280,Hz,                9.92,  mV,
