Trace1,
Freq,,Amp,,
            88000000,Hz,              -78.64, dBm,
            88035666,Hz,              -78.64, dBm,
            88071332,Hz,              -81.34, dBm,
            88106998,Hz,              -85.99, dBm,
            88142664,Hz,              -81.84, dBm,
            88178330,Hz,              -75.58, dBm,
            88213996,Hz,              -76.92, dBm,
            88249662,Hz,              -81.17, dBm,
            88285328,Hz,              -80.09, dBm,
            88320994,Hz,              -80.02, dBm,
            88356660,Hz,              -80.38, dBm,
            88392326,Hz,              -83.84, dBm,
            88427992,Hz,              -81.58, dBm,
            88463658,Hz,              -80.54, dBm,
            88499324,Hz,              -80.34, dBm,
            88534990,Hz,              -79.18, dBm,
            88570656,Hz,              -80.96, dBm,
            88606322,Hz,              -79.43, dBm,
            88641988,Hz,              -76.63, dBm,
            88677654,Hz,              -76.19, dBm,
            88713320,Hz,              -73.66, dBm,
            88748986,Hz,              -70.27, dBm,
            88784652,Hz,              -66.31, dBm,
            88820318,Hz,              -64.88, dBm,
            88855984,Hz,              -64.86, dBm,
            88891650,Hz,              -65.20, dBm,
            88927316,Hz,              -66.14, dBm,
            88962982,Hz,              -68.68, dBm,
            88998648,Hz,              -68.58, dBm,
            89034314,Hz,              -66.12, dBm,
            89069980,Hz,              -65.24, dBm,
            89105646,Hz,              -65.62, dBm,
            89141312,Hz,              -68.48, dBm,
            89176978,Hz,              -69.00, dBm,
            89212644,Hz,              -71.57, dBm,
            89248310,Hz,              -71.55, dBm,
            89283976,Hz,              -73.45, dBm,
            89319642,Hz,              -77.25, dBm,
            89355308,Hz,              -79.52, dBm,
            89390974,Hz,              -79.54, dBm,
            89426640,Hz,              -81.38, dBm,
            89462306,Hz,              -78.87, dBm,
            89497972,Hz,              -73.45, dBm,
            89533638,Hz,              -70.17, dBm,
            89569304,Hz,              -68.43, dBm,
            89604970,Hz,              -66.73, dBm,
            89640636,Hz,              -63.46, dBm,
            89676302,Hz,              -59.56, dBm,
            89711968,Hz,              -57.98, dBm,
            89747634,Hz,              -56.43, dBm,
            89783300,Hz,              -54.74, dBm,
            89818966,Hz,              -53.58, dBm,
            89854632,Hz,              -52.92, dBm,
            89890298,Hz,              -52.49, dBm,
            89925964,Hz,              -52.45, dBm,
            89961630,Hz,              -52.44, dBm,
            89997296,Hz,              -52.48, dBm,
            90032962,Hz,              -52.77, dBm,
            90068628,Hz,              -53.57, dBm,
            90104294,Hz,              -56.55, dBm,
            90139960,Hz,              -57.70, dBm,
            90175626,Hz,              -58.80, dBm,
            90211292,Hz,              -61.23, dBm,
            90246958,Hz,              -62.41, dBm,
            90282624,Hz,              -68.54, dBm,
            90318290,Hz,              -71.28, dBm,
            90353956,Hz,              -73.90, dBm,
            90389622,Hz,              -74.71, dBm,
            90425288,Hz,              -78.92, dBm,
            90460954,Hz,              -76.26, dBm,
            90496620,Hz,              -76.24, dBm,
            90532286,Hz,              -76.92, dBm,
            90567952,Hz,              -76.91, dBm,
            90603618,Hz,              -74.38, dBm,
            90639284,Hz,              -67.04, dBm,
            90674950,Hz,              -64.23, dBm,
            90710616,Hz,              -60.72, dBm,
            90746282,Hz,              -58.30, dBm,
            90781948,Hz,              -56.57, dBm,
            90817614,Hz,              -54.12, dBm,
            90853280,Hz,              -52.81, dBm,
            90888946,Hz,              -51.66, dBm,
            90924612,Hz,              -50.87, dBm,
            90960278,Hz,              -50.16, dBm,
            90995944,Hz,              -49.74, dBm,
            91031610,Hz,              -49.88, dBm,
            91067276,Hz,              -50.33, dBm,
            91102942,Hz,              -51.32, dBm,
            91138608,Hz,              -52.72, dBm,
            91174274,Hz,              -54.49, dBm,
            91209940,Hz,              -56.66, dBm,
            91245606,Hz,              -61.26, dBm,
            91281272,Hz,              -63.01, dBm,
            91316938,Hz,              -65.61, dBm,
            91352604,Hz,              -67.23, dBm,
            91388270,Hz,              -70.62, dBm,
            91423936,Hz,              -72.73, dBm,
            91459602,Hz,              -73.56, dBm,
            91495268,Hz,              -77.88, dBm,
            91530934,Hz,              -79.33, dBm,
            91566600,Hz,              -74.06, dBm,
            91602266,Hz,              -70.46, dBm,
            91637932,Hz,              -68.25, dBm,
            91673598,Hz,              -67.61, dBm,
            91709264,Hz,              -64.41, dBm,
            91744930,Hz,              -61.86, dBm,
            91780596,Hz,              -59.31, dBm,
            91816262,Hz,              -58.56, dBm,
            91851928,Hz,              -57.49, dBm,
            91887594,Hz,              -57.22, dBm,
            91923260,Hz,              -57.33, dBm,
            91958926,Hz,              -56.98, dBm,
            91994592,Hz,              -57.04, dBm,
            92030258,Hz,              -57.76, dBm,
            92065924,Hz,              -58.92, dBm,
            92101590,Hz,              -59.36, dBm,
            92137256,Hz,              -59.89, dBm,
            92172922,Hz,              -63.74, dBm,
            92208588,Hz,              -64.84, dBm,
            92244254,Hz,              -64.25, dBm,
            92279920,Hz,              -63.28, dBm,
            92315586,Hz,              -62.07, dBm,
            92351252,Hz,              -61.37, dBm,
            92386918,Hz,              -61.54, dBm,
            92422584,Hz,              -60.61, dBm,
            92458250,Hz,              -60.27, dBm,
            92493916,Hz,              -60.44, dBm,
            92529582,Hz,              -61.14, dBm,
            92565248,Hz,              -64.54, dBm,
            92600914,Hz,              -65.37, dBm,
            92636580,Hz,              -64.98, dBm,
            92672246,Hz,              -64.05, dBm,
            92707912,Hz,              -59.33, dBm,
            92743578,Hz,              -58.31, dBm,
            92779244,Hz,              -57.46, dBm,
            92814910,Hz,              -56.93, dBm,
            92850576,Hz,              -56.03, dBm,
            92886242,Hz,              -55.30, dBm,
            92921908,Hz,              -55.13, dBm,
            92957574,Hz,              -55.23, dBm,
            92993240,Hz,              -55.54, dBm,
            93028906,Hz,              -55.89, dBm,
            93064572,Hz,              -56.57, dBm,
            93100238,Hz,              -57.15, dBm,
            93135904,Hz,              -59.01, dBm,
            93171570,Hz,              -60.72, dBm,
            93207236,Hz,              -62.26, dBm,
            93242902,Hz,              -64.16, dBm,
            93278568,Hz,              -66.95, dBm,
            93314234,Hz,              -72.92, dBm,
            93349900,Hz,              -73.98, dBm,
            93385566,Hz,              -76.91, dBm,
            93421232,Hz,              -76.32, dBm,
            93456898,Hz,              -76.22, dBm,
            93492564,Hz,              -77.29, dBm,
            93528230,Hz,              -76.26, dBm,
            93563896,Hz,              -72.03, dBm,
            93599562,Hz,              -69.64, dBm,
            93635228,Hz,              -66.74, dBm,
            93670894,Hz,              -62.78, dBm,
            93706560,Hz,              -60.67, dBm,
            93742226,Hz,              -59.42, dBm,
            93777892,Hz,              -59.17, dBm,
            93813558,Hz,              -58.33, dBm,
            93849224,Hz,              -56.49, dBm,
            93884890,Hz,              -56.21, dBm,
            93920556,Hz,              -56.09, dBm,
            93956222,Hz,              -56.12, dBm,
            93991888,Hz,              -56.49, dBm,
            94027554,Hz,              -56.80, dBm,
            94063220,Hz,              -57.70, dBm,
            94098886,Hz,              -59.59, dBm,
            94134552,Hz,              -61.91, dBm,
            94170218,Hz,              -63.18, dBm,
            94205884,Hz,              -64.94, dBm,
            94241550,Hz,              -70.38, dBm,
            94277216,Hz,              -74.18, dBm,
            94312882,Hz,              -76.26, dBm,
            94348548,Hz,              -78.44, dBm,
            94384214,Hz,              -77.94, dBm,
            94419880,Hz,              -77.42, dBm,
            94455546,Hz,              -80.82, dBm,
            94491212,Hz,              -78.57, dBm,
            94526878,Hz,              -73.53, dBm,
            94562544,Hz,              -71.72, dBm,
            94598210,Hz,              -67.16, dBm,
            94633876,Hz,              -64.46, dBm,
            94669542,Hz,              -62.12, dBm,
            94705208,Hz,              -60.35, dBm,
            94740874,Hz,              -59.15, dBm,
            94776540,Hz,              -57.52, dBm,
            94812206,Hz,              -55.23, dBm,
            94847872,Hz,              -54.30, dBm,
            94883538,Hz,              -53.90, dBm,
            94919204,Hz,              -53.82, dBm,
            94954870,Hz,              -53.91, dBm,
            94990536,Hz,              -54.22, dBm,
            95026202,Hz,              -54.50, dBm,
            95061868,Hz,              -55.30, dBm,
            95097534,Hz,              -57.01, dBm,
            95133200,Hz,              -58.03, dBm,
            95168866,Hz,              -59.43, dBm,
            95204532,Hz,              -61.89, dBm,
            95240198,Hz,              -63.79, dBm,
            95275864,Hz,              -67.04, dBm,
            95311530,Hz,              -68.64, dBm,
            95347196,Hz,              -71.79, dBm,
            95382862,Hz,              -69.13, dBm,
            95418528,Hz,              -69.06, dBm,
            95454194,Hz,              -70.21, dBm,
            95489860,Hz,              -69.83, dBm,
            95525526,Hz,              -68.31, dBm,
            95561192,Hz,              -68.04, dBm,
            95596858,Hz,              -67.18, dBm,
            95632524,Hz,              -64.11, dBm,
            95668190,Hz,              -64.10, dBm,
            95703856,Hz,              -65.47, dBm,
            95739522,Hz,              -60.76, dBm,
            95775188,Hz,              -60.27, dBm,
            95810854,Hz,              -60.05, dBm,
            95846520,Hz,              -59.54, dBm,
            95882186,Hz,              -59.29, dBm,
            95917852,Hz,              -59.26, dBm,
            95953518,Hz,              -59.59, dBm,
            95989184,Hz,              -61.08, dBm,
            96024850,Hz,              -61.02, dBm,
            96060516,Hz,              -61.27, dBm,
            96096182,Hz,              -62.39, dBm,
            96131848,Hz,              -63.90, dBm,
            96167514,Hz,              -67.06, dBm,
            96203180,Hz,              -66.83, dBm,
            96238846,Hz,              -66.71, dBm,
            96274512,Hz,              -67.86, dBm,
            96310178,Hz,              -68.61, dBm,
            96345844,Hz,              -75.98, dBm,
            96381510,Hz,              -80.54, dBm,
            96417176,Hz,              -83.76, dBm,
            96452842,Hz,              -78.77, dBm,
            96488508,Hz,              -76.46, dBm,
            96524174,Hz,              -76.46, dBm,
            96559840,Hz,              -75.82, dBm,
            96595506,Hz,              -75.68, dBm,
            96631172,Hz,              -75.86, dBm,
            96666838,Hz,              -71.75, dBm,
            96702504,Hz,              -68.44, dBm,
            96738170,Hz,              -68.35, dBm,
            96773836,Hz,              -67.12, dBm,
            96809502,Hz,              -64.31, dBm,
            96845168,Hz,              -62.91, dBm,
            96880834,Hz,              -61.62, dBm,
            96916500,Hz,              -61.17, dBm,
            96952166,Hz,              -59.89, dBm,
            96987832,Hz,              -59.74, dBm,
            97023498,Hz,              -59.92, dBm,
            97059164,Hz,              -60.53, dBm,
            97094830,Hz,              -61.99, dBm,
            97130496,Hz,              -63.12, dBm,
            97166162,Hz,              -63.66, dBm,
            97201828,Hz,              -63.28, dBm,
            97237494,Hz,              -61.80, dBm,
            97273160,Hz,              -59.64, dBm,
            97308826,Hz,              -58.99, dBm,
            97344492,Hz,              -58.16, dBm,
            97380158,Hz,              -57.90, dBm,
            97415824,Hz,              -58.05, dBm,
            97451490,Hz,              -58.92, dBm,
            97487156,Hz,              -59.90, dBm,
            97522822,Hz,              -59.84, dBm,
            97558488,Hz,              -59.26, dBm,
            97594154,Hz,              -59.31, dBm,
            97629820,Hz,              -61.04, dBm,
            97665486,Hz,              -63.42, dBm,
            97701152,Hz,              -65.85, dBm,
            97736818,Hz,              -65.22, dBm,
            97772484,Hz,              -63.39, dBm,
            97808150,Hz,              -61.72, dBm,
            97843816,Hz,              -61.01, dBm,
            97879482,Hz,              -61.13, dBm,
            97915148,Hz,              -60.95, dBm,
            97950814,Hz,              -60.41, dBm,
            97986480,Hz,              -60.23, dBm,
            98022146,Hz,              -60.26, dBm,
            98057812,Hz,              -61.17, dBm,
            98093478,Hz,              -63.21, dBm,
            98129144,Hz,              -64.05, dBm,
            98164810,Hz,              -63.96, dBm,
            98200476,Hz,              -65.33, dBm,
            98236142,Hz,              -71.87, dBm,
            98271808,Hz,              -69.65, dBm,
            98307474,Hz,              -67.10, dBm,
            98343140,Hz,              -65.27, dBm,
            98378806,Hz,              -64.49, dBm,
            98414472,Hz,              -61.29, dBm,
            98450138,Hz,              -60.82, dBm,
            98485804,Hz,              -59.91, dBm,
            98521470,Hz,              -58.58, dBm,
            98557136,Hz,              -58.23, dBm,
            98592802,Hz,              -58.05, dBm,
            98628468,Hz,              -58.21, dBm,
            98664134,Hz,              -58.46, dBm,
            98699800,Hz,              -58.44, dBm,
            98735466,Hz,              -59.03, dBm,
            98771132,Hz,              -60.71, dBm,
            98806798,Hz,              -62.24, dBm,
            98842464,Hz,              -63.99, dBm,
            98878130,Hz,              -67.09, dBm,
            98913796,Hz,              -68.34, dBm,
            98949462,Hz,              -70.99, dBm,
            98985128,Hz,              -75.97, dBm,
            99020794,Hz,              -79.08, dBm,
            99056460,Hz,              -74.48, dBm,
            99092126,Hz,              -74.12, dBm,
            99127792,Hz,              -75.25, dBm,
            99163458,Hz,              -76.98, dBm,
            99199124,Hz,              -80.38, dBm,
            99234790,Hz,              -78.92, dBm,
            99270456,Hz,              -74.12, dBm,
            99306122,Hz,              -72.44, dBm,
            99341788,Hz,              -73.28, dBm,
            99377454,Hz,              -79.64, dBm,
            99413120,Hz,              -76.99, dBm,
            99448786,Hz,              -76.68, dBm,
            99484452,Hz,              -78.37, dBm,
            99520118,Hz,              -72.77, dBm,
            99555784,Hz,              -67.60, dBm,
            99591450,Hz,              -65.09, dBm,
            99627116,Hz,              -62.33, dBm,
            99662782,Hz,              -60.65, dBm,
            99698448,Hz,              -58.76, dBm,
            99734114,Hz,              -57.73, dBm,
            99769780,Hz,              -56.61, dBm,
            99805446,Hz,              -55.74, dBm,
            99841112,Hz,              -55.53, dBm,
            99876778,Hz,              -55.49, dBm,
            99912444,Hz,              -54.67, dBm,
            99948110,Hz,              -54.68, dBm,
            99983776,Hz,              -55.09, dBm,
           100019442,Hz,              -55.23, dBm,
           100055108,Hz,              -55.97, dBm,
           100090774,Hz,              -56.85, dBm,
           100126440,Hz,              -56.80, dBm,
           100162106,Hz,              -57.13, dBm,
           100197772,Hz,              -54.76, dBm,
           100233438,Hz,              -52.69, dBm,
           100269104,Hz,              -51.24, dBm,
           100304770,Hz,              -49.22, dBm,
           100340436,Hz,              -48.61, dBm,
           100376102,Hz,              -48.22, dBm,
           100411768,Hz,              -48.05, dBm,
           100447434,Hz,              -48.05, dBm,
           100483100,Hz,              -48.29, dBm,
           100518766,Hz,              -49.45, dBm,
           100554432,Hz,              -50.27, dBm,
           100590098,Hz,              -51.52, dBm,
           100625764,Hz,              -52.98, dBm,
           100661430,Hz,              -54.11, dBm,
           100697096,Hz,              -57.50, dBm,
           100732762,Hz,              -58.36, dBm,
           100768428,Hz,              -58.36, dBm,
           100804094,Hz,              -57.74, dBm,
           100839760,Hz,              -57.34, dBm,
           100875426,Hz,              -56.59, dBm,
           100911092,Hz,              -56.62, dBm,
           100946758,Hz,              -56.67, dBm,
           100982424,Hz,              -56.79, dBm,
           101018090,Hz,              -57.16, dBm,
           101053756,Hz,              -57.85, dBm,
           101089422,Hz,              -61.19, dBm,
           101125088,Hz,              -63.77, dBm,
           101160754,Hz,              -66.65, dBm,
           101196420,Hz,              -67.25, dBm,
           101232086,Hz,              -70.37, dBm,
           101267752,Hz,              -75.07, dBm,
           101303418,Hz,              -75.30, dBm,
           101339084,Hz,              -73.47, dBm,
           101374750,Hz,              -73.43, dBm,
           101410416,Hz,              -75.24, dBm,
           101446082,Hz,              -77.97, dBm,
           101481748,Hz,              -76.62, dBm,
           101517414,Hz,              -76.30, dBm,
           101553080,Hz,              -76.46, dBm,
           101588746,Hz,              -71.69, dBm,
           101624412,Hz,              -67.93, dBm,
           101660078,Hz,              -64.81, dBm,
           101695744,Hz,              -63.09, dBm,
           101731410,Hz,              -60.71, dBm,
           101767076,Hz,              -58.79, dBm,
           101802742,Hz,              -56.43, dBm,
           101838408,Hz,              -55.65, dBm,
           101874074,Hz,              -55.18, dBm,
           101909740,Hz,              -55.02, dBm,
           101945406,Hz,              -55.00, dBm,
           101981072,Hz,              -54.80, dBm,
           102016738,Hz,              -54.84, dBm,
           102052404,Hz,              -55.17, dBm,
           102088070,Hz,              -55.90, dBm,
           102123736,Hz,              -56.99, dBm,
           102159402,Hz,              -58.15, dBm,
           102195068,Hz,              -59.81, dBm,
           102230734,Hz,              -63.98, dBm,
           102266400,Hz,              -66.06, dBm,
           102302066,Hz,              -69.89, dBm,
           102337732,Hz,              -73.19, dBm,
           102373398,Hz,              -74.91, dBm,
           102409064,Hz,              -77.08, dBm,
           102444730,Hz,              -77.50, dBm,
           102480396,Hz,              -78.76, dBm,
           102516062,Hz,              -72.89, dBm,
           102551728,Hz,              -71.61, dBm,
           102587394,Hz,              -67.42, dBm,
           102623060,Hz,              -64.23, dBm,
           102658726,Hz,              -62.78, dBm,
           102694392,Hz,              -61.14, dBm,
           102730058,Hz,              -59.81, dBm,
           102765724,Hz,              -55.75, dBm,
           102801390,Hz,              -55.06, dBm,
           102837056,Hz,              -54.12, dBm,
           102872722,Hz,              -53.33, dBm,
           102908388,Hz,              -53.01, dBm,
           102944054,Hz,              -52.90, dBm,
           102979720,Hz,              -53.09, dBm,
           103015386,Hz,              -53.39, dBm,
           103051052,Hz,              -53.74, dBm,
           103086718,Hz,              -54.43, dBm,
           103122384,Hz,              -55.72, dBm,
           103158050,Hz,              -58.12, dBm,
           103193716,Hz,              -59.58, dBm,
           103229382,Hz,              -62.07, dBm,
           103265048,Hz,              -65.26, dBm,
           103300714,Hz,              -68.46, dBm,
           103336380,Hz,              -69.81, dBm,
           103372046,Hz,              -76.10, dBm,
           103407712,Hz,              -77.41, dBm,
           103443378,Hz,              -77.00, dBm,
           103479044,Hz,              -75.12, dBm,
           103514710,Hz,              -69.25, dBm,
           103550376,Hz,              -65.24, dBm,
           103586042,Hz,              -60.60, dBm,
           103621708,Hz,              -58.38, dBm,
           103657374,Hz,              -55.82, dBm,
           103693040,Hz,              -52.18, dBm,
           103728706,Hz,              -50.74, dBm,
           103764372,Hz,              -48.64, dBm,
           103800038,Hz,              -47.27, dBm,
           103835704,Hz,              -45.72, dBm,
           103871370,Hz,              -44.62, dBm,
           103907036,Hz,              -43.55, dBm,
           103942702,Hz,              -43.40, dBm,
           103978368,Hz,              -43.39, dBm,
           104014034,Hz,              -43.52, dBm,
           104049700,Hz,              -43.87, dBm,
           104085366,Hz,              -44.31, dBm,
           104121032,Hz,              -45.98, dBm,
           104156698,Hz,              -47.21, dBm,
           104192364,Hz,              -48.07, dBm,
           104228030,Hz,              -48.19, dBm,
           104263696,Hz,              -47.13, dBm,
           104299362,Hz,              -46.52, dBm,
           104335028,Hz,              -45.94, dBm,
           104370694,Hz,              -45.41, dBm,
           104406360,Hz,              -45.05, dBm,
           104442026,Hz,              -44.82, dBm,
           104477692,Hz,              -44.95, dBm,
           104513358,Hz,              -45.39, dBm,
           104549024,Hz,              -45.92, dBm,
           104584690,Hz,              -46.77, dBm,
           104620356,Hz,              -48.16, dBm,
           104656022,Hz,              -49.34, dBm,
           104691688,Hz,              -52.20, dBm,
           104727354,Hz,              -52.83, dBm,
           104763020,Hz,              -52.20, dBm,
           104798686,Hz,              -51.63, dBm,
           104834352,Hz,              -50.43, dBm,
           104870018,Hz,              -49.77, dBm,
           104905684,Hz,              -49.58, dBm,
           104941350,Hz,              -49.58, dBm,
           104977016,Hz,              -49.63, dBm,
           105012682,Hz,              -49.82, dBm,
           105048348,Hz,              -50.97, dBm,
           105084014,Hz,              -51.88, dBm,
           105119680,Hz,              -52.80, dBm,
           105155346,Hz,              -53.92, dBm,
           105191012,Hz,              -55.77, dBm,
           105226678,Hz,              -57.49, dBm,
           105262344,Hz,              -58.20, dBm,
           105298010,Hz,              -56.93, dBm,
           105333676,Hz,              -55.97, dBm,
           105369342,Hz,              -55.12, dBm,
           105405008,Hz,              -54.22, dBm,
           105440674,Hz,              -54.09, dBm,
           105476340,Hz,              -54.12, dBm,
           105512006,Hz,              -54.27, dBm,
           105547672,Hz,              -54.36, dBm,
           105583338,Hz,              -54.61, dBm,
           105619004,Hz,              -55.42, dBm,
           105654670,Hz,              -55.89, dBm,
           105690336,Hz,              -54.40, dBm,
           105726002,Hz,              -52.73, dBm,
           105761668,Hz,              -50.89, dBm,
           105797334,Hz,              -48.40, dBm,
           105833000,Hz,              -47.83, dBm,
           105868666,Hz,              -47.48, dBm,
           105904332,Hz,              -47.25, dBm,
           105939998,Hz,              -47.20, dBm,
           105975664,Hz,              -47.24, dBm,
           106011330,Hz,              -48.16, dBm,
           106046996,Hz,              -49.08, dBm,
           106082662,Hz,              -49.96, dBm,
           106118328,Hz,              -50.93, dBm,
           106153994,Hz,              -52.38, dBm,
           106189660,Hz,              -55.61, dBm,
           106225326,Hz,              -57.94, dBm,
           106260992,Hz,              -60.02, dBm,
           106296658,Hz,              -62.53, dBm,
           106332324,Hz,              -65.41, dBm,
           106367990,Hz,              -68.50, dBm,
           106403656,Hz,              -75.85, dBm,
           106439322,Hz,              -79.65, dBm,
           106474988,Hz,              -79.04, dBm,
           106510654,Hz,              -76.71, dBm,
           106546320,Hz,              -70.63, dBm,
           106581986,Hz,              -68.04, dBm,
           106617652,Hz,              -66.52, dBm,
           106653318,Hz,              -65.48, dBm,
           106688984,Hz,              -63.90, dBm,
           106724650,Hz,              -60.89, dBm,
           106760316,Hz,              -60.95, dBm,
           106795982,Hz,              -60.87, dBm,
           106831648,Hz,              -60.51, dBm,
           106867314,Hz,              -60.08, dBm,
           106902980,Hz,              -58.71, dBm,
           106938646,Hz,              -58.22, dBm,
           106974312,Hz,              -58.11, dBm,
           107009978,Hz,              -58.10, dBm,
           107045644,Hz,              -58.50, dBm,
           107081310,Hz,              -59.68, dBm,
           107116976,Hz,              -61.40, dBm,
           107152642,Hz,              -63.82, dBm,
           107188308,Hz,              -66.06, dBm,
           107223974,Hz,              -67.92, dBm,
           107259640,Hz,              -68.20, dBm,
           107295306,Hz,              -71.04, dBm,
           107330972,Hz,              -74.56, dBm,
           107366638,Hz,              -74.81, dBm,
           107402304,Hz,              -76.80, dBm,
           107437970,Hz,              -79.69, dBm,
           107473636,Hz,              -82.67, dBm,
           107509302,Hz,              -81.44, dBm,
           107544968,Hz,              -77.24, dBm,
           107580634,Hz,              -77.08, dBm,
           107616300,Hz,              -73.43, dBm,
           107651966,Hz,              -71.97, dBm,
           107687632,Hz,              -67.77, dBm,
           107723298,Hz,              -65.15, dBm,
           107758964,Hz,              -64.06, dBm,
           107794630,Hz,              -64.05, dBm,
           107830296,Hz,              -64.74, dBm,
           107865962,Hz,              -61.61, dBm,
           107901628,Hz,              -60.71, dBm,
           107937294,Hz,              -60.66, dBm,
           107972960,Hz,              -61.22, dBm,
           108008626,Hz,              -61.35, dBm,
           108044292,Hz,              -61.31, dBm,
           108079958,Hz,              -62.80, dBm,
           108115624,Hz,              -64.46, dBm,
           108151290,Hz,              -65.64, dBm,
           108186956,Hz,              -67.10, dBm,
           108222622,Hz,              -69.38, dBm,
           108258288,Hz,              -71.63, dBm,
           108293954,Hz,              -72.37, dBm,
           108329620,Hz,              -75.08, dBm,
           108365286,Hz,              -77.30, dBm,
           108400952,Hz,              -77.28, dBm,
           108436618,Hz,              -79.98, dBm,
           108472284,Hz,              -77.30, dBm,
           108507950,Hz,              -77.00, dBm,
           108543616,Hz,              -76.88, dBm,
           108579282,Hz,              -77.82, dBm,
           108614948,Hz,              -79.37, dBm,
           108650614,Hz,              -77.07, dBm,
           108686280,Hz,              -76.79, dBm,
           108721946,Hz,              -76.88, dBm,
           108757612,Hz,              -77.59, dBm,
           108793278,Hz,              -81.18, dBm,
           108828944,Hz,              -76.05, dBm,
           108864610,Hz,              -76.34, dBm,
           108900276,Hz,              -80.63, dBm,
           108935942,Hz,              -85.57, dBm,
           108971608,Hz,              -82.96, dBm,
           109007274,Hz,              -76.49, dBm,
           109042940,Hz,              -76.29, dBm,
           109078606,Hz,              -77.04, dBm,
           109114272,Hz,              -80.93, dBm,
           109149938,Hz,              -82.60, dBm,
           109185604,Hz,              -78.14, dBm,
           109221270,Hz,              -79.88, dBm,
           109256936,Hz,              -82.04, dBm,
           109292602,Hz,              -80.82, dBm,
           109328268,Hz,              -81.07, dBm,
           109363934,Hz,              -80.88, dBm,
           109399600,Hz,              -77.43, dBm,
