Trace1,
Freq,,Amp,,
            98275000,Hz,              -75.68, dBm,
            98275875,Hz,              -77.96, dBm,
            98276750,Hz,              -76.66, dBm,
            98277625,Hz,              -77.98, dBm,
            98278500,Hz,              -77.51, dBm,
            98279375,Hz,              -76.50, dBm,
            98280250,Hz,              -78.49, dBm,
            98281125,Hz,              -72.75, dBm,
            98282000,Hz,              -77.29, dBm,
            98282875,Hz,              -77.53, dBm,
            98283750,Hz,              -77.80, dBm,
            98284625,Hz,              -78.30, dBm,
            98285500,Hz,              -76.53, dBm,
            98286375,Hz,              -76.94, dBm,
            98287250,Hz,              -76.63, dBm,
            98288125,Hz,              -75.83, dBm,
            98289000,Hz,              -78.15, dBm,
            98289875,Hz,              -77.80, dBm,
            98290750,Hz,              -78.24, dBm,
            98291625,Hz,              -72.39, dBm,
            98292500,Hz,              -77.06, dBm,
            98293375,Hz,              -76.46, dBm,
            98294250,Hz,              -75.48, dBm,
            98295125,Hz,              -75.14, dBm,
            98296000,Hz,              -78.00, dBm,
            98296875,Hz,              -78.17, dBm,
            98297750,Hz,              -75.75, dBm,
            98298625,Hz,              -72.89, dBm,
            98299500,Hz,              -76.77, dBm,
            98300375,Hz,              -73.81, dBm,
            98301250,Hz,              -73.26, dBm,
            98302125,Hz,              -72.13, dBm,
            98303000,Hz,              -72.06, dBm,
            98303875,Hz,              -71.81, dBm,
            98304750,Hz,              -71.37, dBm,
            98305625,Hz,              -71.32, dBm,
            98306500,Hz,              -71.22, dBm,
            98307375,Hz,              -71.45, dBm,
            98308250,Hz,              -70.42, dBm,
            98309125,Hz,              -70.60, dBm,
            98310000,Hz,              -70.75, dBm,
            98310875,Hz,              -71.71, dBm,
            98311750,Hz,              -70.28, dBm,
            98312625,Hz,              -72.45, dBm,
            98313500,Hz,              -70.20, dBm,
            98314375,Hz,              -68.92, dBm,
            98315250,Hz,              -69.95, dBm,
            98316125,Hz,              -70.39, dBm,
            98317000,Hz,              -69.37, dBm,
            98317875,Hz,              -70.22, dBm,
            98318750,Hz,              -68.84, dBm,
            98319625,Hz,              -68.39, dBm,
            98320500,Hz,              -67.81, dBm,
            98321375,Hz,              -67.65, dBm,
            98322250,Hz,              -68.04, dBm,
            98323125,Hz,              -69.40, dBm,
            98324000,Hz,              -77.02, dBm,
            98324875,Hz,              -75.48, dBm,
            98325750,Hz,              -68.71, dBm,
            98326625,Hz,              -66.81, dBm,
            98327500,Hz,              -65.76, dBm,
            98328375,Hz,              -65.53, dBm,
            98329250,Hz,              -66.14, dBm,
            98330125,Hz,              -75.08, dBm,
            98331000,Hz,              -77.54, dBm,
            98331875,Hz,              -78.15, dBm,
            98332750,Hz,              -75.90, dBm,
            98333625,Hz,              -65.57, dBm,
            98334500,Hz,              -64.82, dBm,
            98335375,Hz,              -64.54, dBm,
            98336250,Hz,              -63.90, dBm,
            98337125,Hz,              -64.34, dBm,
            98338000,Hz,              -65.69, dBm,
            98338875,Hz,              -65.10, dBm,
            98339750,Hz,              -65.70, dBm,
            98340625,Hz,              -63.93, dBm,
            98341500,Hz,              -63.77, dBm,
            98342375,Hz,              -64.07, dBm,
            98343250,Hz,              -64.07, dBm,
            98344125,Hz,              -63.07, dBm,
            98345000,Hz,              -63.83, dBm,
            98345875,Hz,              -62.98, dBm,
            98346750,Hz,              -62.83, dBm,
            98347625,Hz,              -62.71, dBm,
            98348500,Hz,              -62.33, dBm,
            98349375,Hz,              -62.13, dBm,
            98350250,Hz,              -62.23, dBm,
            98351125,Hz,              -62.38, dBm,
            98352000,Hz,              -62.17, dBm,
            98352875,Hz,              -64.13, dBm,
            98353750,Hz,              -63.44, dBm,
            98354625,Hz,              -66.01, dBm,
            98355500,Hz,              -60.89, dBm,
            98356375,Hz,              -61.41, dBm,
            98357250,Hz,              -60.97, dBm,
            98358125,Hz,              -60.05, dBm,
            98359000,Hz,              -61.01, dBm,
            98359875,Hz,              -61.30, dBm,
            98360750,Hz,              -61.44, dBm,
            98361625,Hz,              -59.58, dBm,
            98362500,Hz,              -59.23, dBm,
            98363375,Hz,              -59.08, dBm,
            98364250,Hz,              -59.94, dBm,
            98365125,Hz,              -59.88, dBm,
            98366000,Hz,              -60.64, dBm,
            98366875,Hz,              -76.53, dBm,
            98367750,Hz,              -65.64, dBm,
            98368625,Hz,              -59.74, dBm,
            98369500,Hz,              -58.77, dBm,
            98370375,Hz,              -58.90, dBm,
            98371250,Hz,              -58.36, dBm,
            98372125,Hz,              -59.40, dBm,
            98373000,Hz,              -59.47, dBm,
            98373875,Hz,              -58.58, dBm,
            98374750,Hz,              -58.07, dBm,
            98375625,Hz,              -58.15, dBm,
            98376500,Hz,              -58.15, dBm,
            98377375,Hz,              -57.82, dBm,
            98378250,Hz,              -57.88, dBm,
            98379125,Hz,              -58.01, dBm,
            98380000,Hz,              -56.86, dBm,
            98380875,Hz,              -57.24, dBm,
            98381750,Hz,              -57.17, dBm,
            98382625,Hz,              -57.16, dBm,
            98383500,Hz,              -57.71, dBm,
            98384375,Hz,              -57.53, dBm,
            98385250,Hz,              -63.54, dBm,
            98386125,Hz,              -58.07, dBm,
            98387000,Hz,              -57.18, dBm,
            98387875,Hz,              -63.42, dBm,
            98388750,Hz,              -57.86, dBm,
            98389625,Hz,              -57.36, dBm,
            98390500,Hz,              -56.58, dBm,
            98391375,Hz,              -55.57, dBm,
            98392250,Hz,              -55.69, dBm,
            98393125,Hz,              -55.58, dBm,
            98394000,Hz,              -55.40, dBm,
            98394875,Hz,              -56.12, dBm,
            98395750,Hz,              -56.95, dBm,
            98396625,Hz,              -56.42, dBm,
            98397500,Hz,              -66.92, dBm,
            98398375,Hz,              -62.77, dBm,
            98399250,Hz,              -56.67, dBm,
            98400125,Hz,              -56.09, dBm,
            98401000,Hz,              -56.19, dBm,
            98401875,Hz,              -56.42, dBm,
            98402750,Hz,              -58.73, dBm,
            98403625,Hz,              -55.27, dBm,
            98404500,Hz,              -54.82, dBm,
            98405375,Hz,              -54.52, dBm,
            98406250,Hz,              -54.98, dBm,
            98407125,Hz,              -55.20, dBm,
            98408000,Hz,              -58.40, dBm,
            98408875,Hz,              -69.51, dBm,
            98409750,Hz,              -58.66, dBm,
            98410625,Hz,              -57.05, dBm,
            98411500,Hz,              -55.77, dBm,
            98412375,Hz,              -55.42, dBm,
            98413250,Hz,              -55.19, dBm,
            98414125,Hz,              -56.53, dBm,
            98415000,Hz,              -57.05, dBm,
            98415875,Hz,              -54.14, dBm,
            98416750,Hz,              -53.94, dBm,
            98417625,Hz,              -54.32, dBm,
            98418500,Hz,              -54.72, dBm,
            98419375,Hz,              -54.73, dBm,
            98420250,Hz,              -55.65, dBm,
            98421125,Hz,              -60.83, dBm,
            98422000,Hz,              -59.33, dBm,
            98422875,Hz,              -55.22, dBm,
            98423750,Hz,              -54.74, dBm,
            98424625,Hz,              -55.20, dBm,
            98425500,Hz,              -57.89, dBm,
            98426375,Hz,              -56.56, dBm,
            98427250,Hz,              -55.39, dBm,
            98428125,Hz,              -53.81, dBm,
            98429000,Hz,              -54.09, dBm,
            98429875,Hz,              -53.99, dBm,
            98430750,Hz,              -54.20, dBm,
            98431625,Hz,              -54.18, dBm,
            98432500,Hz,              -54.04, dBm,
            98433375,Hz,              -54.90, dBm,
            98434250,Hz,              -54.16, dBm,
            98435125,Hz,              -53.80, dBm,
            98436000,Hz,              -54.45, dBm,
            98436875,Hz,              -54.51, dBm,
            98437750,Hz,              -54.38, dBm,
            98438625,Hz,              -57.70, dBm,
            98439500,Hz,              -63.25, dBm,
            98440375,Hz,              -58.21, dBm,
            98441250,Hz,              -54.52, dBm,
            98442125,Hz,              -54.61, dBm,
            98443000,Hz,              -54.41, dBm,
            98443875,Hz,              -54.06, dBm,
            98444750,Hz,              -53.85, dBm,
            98445625,Hz,              -53.90, dBm,
            98446500,Hz,              -53.85, dBm,
            98447375,Hz,              -53.93, dBm,
            98448250,Hz,              -54.45, dBm,
            98449125,Hz,              -54.46, dBm,
            98450000,Hz,              -54.96, dBm,
            98450875,Hz,              -59.02, dBm,
            98451750,Hz,              -54.89, dBm,
            98452625,Hz,              -54.01, dBm,
            98453500,Hz,              -53.90, dBm,
            98454375,Hz,              -54.18, dBm,
            98455250,Hz,              -54.63, dBm,
            98456125,Hz,              -54.32, dBm,
            98457000,Hz,              -53.60, dBm,
            98457875,Hz,              -53.81, dBm,
            98458750,Hz,              -54.09, dBm,
            98459625,Hz,              -53.93, dBm,
            98460500,Hz,              -54.31, dBm,
            98461375,Hz,              -54.41, dBm,
            98462250,Hz,              -53.74, dBm,
